method,split,task,regime,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_regret_to_oracle,ci95_regret_to_oracle,groups
active_viewpoint_reacquisition,combined_disappearance_stress,mobile_pick_and_place,human_temporary_obstruction,0.5459,0.0332,0.3762,0.0059,0.2726,0.0097,0.148,0.0269,0.0986,0.0195,0.1122,0.0196,0.3384,0.0419,0.233,0.0296,0.7935,0.0137,0.2516,0.0069,0.2517,0.0386,7
active_viewpoint_reacquisition,combined_disappearance_stress,mobile_pick_and_place,object_moved,0.5374,0.0324,0.3912,0.0145,0.2774,0.0111,0.1786,0.0169,0.0918,0.0237,0.0969,0.023,0.3554,0.0339,0.2585,0.0253,0.7449,0.0188,0.24,0.0033,0.2891,0.0471,7
active_viewpoint_reacquisition,combined_disappearance_stress,mobile_pick_and_place,object_removed,0.5017,0.0492,0.381,0.0099,0.2853,0.007,0.1922,0.0281,0.0986,0.0214,0.0646,0.0112,0.3401,0.0452,0.2041,0.0246,0.8542,0.0154,0.2486,0.0032,0.2721,0.0661,7
active_viewpoint_reacquisition,combined_disappearance_stress,mobile_pick_and_place,substitute_goal_available,0.4983,0.0382,0.3867,0.0061,0.2804,0.0144,0.1752,0.0348,0.0867,0.0263,0.0629,0.0329,0.3418,0.022,0.1956,0.0341,0.8293,0.0092,0.2536,0.0095,0.301,0.0645,7
active_viewpoint_reacquisition,combined_disappearance_stress,mobile_pick_and_place,visual_occlusion,0.5884,0.0499,0.3892,0.0075,0.2765,0.0061,0.1105,0.0304,0.0663,0.016,0.1224,0.015,0.318,0.0496,0.2908,0.0463,0.8115,0.0156,0.2537,0.0075,0.2262,0.0411,7
active_viewpoint_reacquisition,combined_disappearance_stress,shelf_retrieval,cascading_disappearing_goal,0.4099,0.0356,0.3829,0.0065,0.2795,0.01,0.2143,0.0622,0.0952,0.0191,0.0986,0.0141,0.3639,0.0526,0.2296,0.0325,0.9429,0.0069,0.2439,0.0037,0.3929,0.0411,7
active_viewpoint_reacquisition,combined_disappearance_stress,shelf_retrieval,goal_specification_changed,0.4694,0.0317,0.3918,0.0142,0.2626,0.0109,0.2058,0.0243,0.0867,0.0243,0.0629,0.0084,0.3316,0.0339,0.2143,0.0467,0.8029,0.0141,0.248,0.0028,0.3248,0.058,7
active_viewpoint_reacquisition,combined_disappearance_stress,shelf_retrieval,human_temporary_obstruction,0.5544,0.0536,0.387,0.0115,0.2677,0.0145,0.1276,0.0313,0.0663,0.0133,0.1259,0.0287,0.3163,0.0283,0.2636,0.0365,0.8077,0.0224,0.2573,0.0071,0.2585,0.0449,7
active_viewpoint_reacquisition,combined_disappearance_stress,shelf_retrieval,object_moved,0.5425,0.0313,0.3799,0.0088,0.2715,0.0151,0.1837,0.0333,0.068,0.022,0.0969,0.0262,0.3214,0.045,0.2585,0.0393,0.7427,0.0059,0.249,0.0042,0.2721,0.0396,7
active_viewpoint_reacquisition,combined_disappearance_stress,shelf_retrieval,object_removed,0.4915,0.0373,0.39,0.0115,0.2735,0.0081,0.1939,0.034,0.1105,0.0363,0.068,0.0195,0.3299,0.0363,0.2058,0.0403,0.8488,0.0097,0.2535,0.005,0.3129,0.0377,7
active_viewpoint_reacquisition,combined_disappearance_stress,shelf_retrieval,substitute_goal_available,0.4728,0.0329,0.3811,0.0105,0.2769,0.007,0.1497,0.0305,0.0799,0.0182,0.0918,0.0141,0.3044,0.0313,0.2364,0.0495,0.8136,0.0106,0.2456,0.0079,0.3146,0.0458,7
active_viewpoint_reacquisition,combined_disappearance_stress,shelf_retrieval,visual_occlusion,0.602,0.0196,0.3807,0.0077,0.265,0.0142,0.1088,0.0241,0.0408,0.016,0.1054,0.0139,0.3061,0.0296,0.2755,0.0271,0.8263,0.0189,0.2496,0.0082,0.1939,0.0443,7
active_viewpoint_reacquisition,combined_disappearance_stress,tool_handoff,cascading_disappearing_goal,0.3895,0.0403,0.3828,0.0108,0.2716,0.0124,0.2228,0.0366,0.1241,0.0196,0.0918,0.0043,0.3078,0.0406,0.1905,0.0306,0.9924,0.0102,0.2499,0.0066,0.3571,0.0609,7
active_viewpoint_reacquisition,combined_disappearance_stress,tool_handoff,goal_specification_changed,0.4456,0.0209,0.3823,0.0044,0.268,0.0107,0.2381,0.0306,0.1003,0.0112,0.0697,0.0224,0.3435,0.032,0.2211,0.0296,0.83,0.0131,0.2454,0.0034,0.3554,0.0468,7
active_viewpoint_reacquisition,combined_disappearance_stress,tool_handoff,human_temporary_obstruction,0.5459,0.0252,0.3809,0.0071,0.2773,0.0115,0.1429,0.0326,0.0697,0.0107,0.1207,0.0267,0.3112,0.0236,0.2908,0.0341,0.8223,0.0127,0.2555,0.0086,0.2755,0.0418,7
active_viewpoint_reacquisition,combined_disappearance_stress,tool_handoff,object_moved,0.5051,0.0233,0.3849,0.0141,0.27,0.0136,0.1837,0.0349,0.085,0.0206,0.0901,0.01,0.3112,0.0372,0.2687,0.0623,0.7378,0.0167,0.2451,0.0088,0.2993,0.0588,7
active_viewpoint_reacquisition,combined_disappearance_stress,tool_handoff,object_removed,0.4779,0.0406,0.375,0.013,0.2862,0.0087,0.2109,0.0287,0.1139,0.0317,0.0714,0.0114,0.3639,0.0296,0.2143,0.0306,0.8756,0.0135,0.2515,0.0083,0.3112,0.0695,7
active_viewpoint_reacquisition,combined_disappearance_stress,tool_handoff,substitute_goal_available,0.4796,0.0598,0.3802,0.0089,0.2828,0.0106,0.199,0.0214,0.0748,0.0208,0.0731,0.0219,0.301,0.0296,0.2262,0.0384,0.8343,0.0097,0.2537,0.0084,0.3095,0.0782,7
active_viewpoint_reacquisition,combined_disappearance_stress,tool_handoff,visual_occlusion,0.5425,0.0485,0.3842,0.0096,0.2778,0.0108,0.0986,0.0248,0.0561,0.022,0.1259,0.0221,0.3639,0.0387,0.2636,0.0479,0.8263,0.0121,0.256,0.0044,0.2925,0.058,7
active_viewpoint_reacquisition,delayed_reappearance,bin_sorting,cascading_disappearing_goal,0.5136,0.0351,0.4172,0.0089,0.2856,0.0032,0.2381,0.0326,0.0833,0.0228,0.1003,0.0209,0.3265,0.0301,0.2398,0.0427,0.8776,0.0178,0.2541,0.0055,0.3146,0.0516,7
active_viewpoint_reacquisition,delayed_reappearance,bin_sorting,goal_specification_changed,0.5459,0.0262,0.4176,0.0049,0.2958,0.0093,0.2075,0.0485,0.0714,0.0197,0.0935,0.0156,0.3299,0.0506,0.2704,0.0387,0.7632,0.0121,0.2452,0.0071,0.2466,0.0296,7
active_viewpoint_reacquisition,delayed_reappearance,bin_sorting,human_temporary_obstruction,0.6122,0.041,0.4081,0.0117,0.2897,0.0117,0.1276,0.0263,0.0782,0.0221,0.1139,0.0133,0.3248,0.0348,0.2602,0.0406,0.7633,0.0149,0.2558,0.0071,0.2109,0.0309,7
active_viewpoint_reacquisition,delayed_reappearance,bin_sorting,object_moved,0.5493,0.057,0.4073,0.0121,0.2921,0.0095,0.1956,0.0426,0.0476,0.0102,0.1037,0.022,0.3248,0.0287,0.2653,0.0337,0.7149,0.0103,0.2464,0.0094,0.2636,0.0601,7
active_viewpoint_reacquisition,delayed_reappearance,bin_sorting,object_removed,0.5272,0.0431,0.4136,0.0069,0.2953,0.0103,0.182,0.0501,0.0884,0.0227,0.0663,0.0264,0.3452,0.0274,0.2449,0.0519,0.7941,0.0165,0.2416,0.0084,0.3112,0.0459,7
active_viewpoint_reacquisition,delayed_reappearance,bin_sorting,substitute_goal_available,0.5629,0.0377,0.4094,0.0059,0.2949,0.01,0.182,0.0304,0.0612,0.0156,0.0612,0.0187,0.318,0.0317,0.2687,0.0329,0.7681,0.0093,0.2485,0.0074,0.2551,0.0638,7
active_viewpoint_reacquisition,delayed_reappearance,bin_sorting,visual_occlusion,0.6207,0.0328,0.4092,0.0124,0.2975,0.0071,0.1088,0.0224,0.0476,0.0228,0.1122,0.0317,0.3231,0.0563,0.2942,0.04,0.7733,0.0113,0.2504,0.0067,0.2092,0.0377,7
active_viewpoint_reacquisition,delayed_reappearance,drawer_placement,cascading_disappearing_goal,0.4575,0.041,0.4149,0.0085,0.2888,0.012,0.2313,0.0387,0.0918,0.0248,0.1122,0.0321,0.2874,0.029,0.2262,0.0244,0.9035,0.0126,0.2482,0.0052,0.3469,0.0497,7
active_viewpoint_reacquisition,delayed_reappearance,drawer_placement,goal_specification_changed,0.5476,0.0381,0.4198,0.0115,0.3011,0.0094,0.2041,0.0303,0.0935,0.0206,0.085,0.0236,0.2891,0.0344,0.25,0.0435,0.7702,0.0135,0.2441,0.0062,0.2908,0.0613,7
active_viewpoint_reacquisition,delayed_reappearance,drawer_placement,human_temporary_obstruction,0.5867,0.0237,0.4105,0.0075,0.2917,0.0089,0.1224,0.0195,0.0714,0.0318,0.0969,0.0224,0.2993,0.0312,0.2738,0.0401,0.7783,0.0122,0.2544,0.0087,0.2177,0.0508,7
active_viewpoint_reacquisition,delayed_reappearance,drawer_placement,object_moved,0.5493,0.0473,0.417,0.0101,0.2862,0.0076,0.1786,0.0274,0.0765,0.0301,0.0697,0.0219,0.318,0.0406,0.25,0.0314,0.7393,0.0129,0.2417,0.0051,0.2755,0.0627,7
active_viewpoint_reacquisition,delayed_reappearance,drawer_placement,object_removed,0.5306,0.0274,0.4165,0.0138,0.2944,0.013,0.2024,0.0414,0.0901,0.0183,0.0595,0.0125,0.352,0.0458,0.25,0.0349,0.8108,0.0141,0.2429,0.0061,0.2704,0.0437,7
active_viewpoint_reacquisition,delayed_reappearance,drawer_placement,substitute_goal_available,0.4881,0.0455,0.4238,0.0127,0.2859,0.0101,0.1905,0.0371,0.0663,0.019,0.0748,0.0248,0.3214,0.0301,0.2279,0.0354,0.7935,0.0145,0.2462,0.0051,0.3095,0.0524,7
active_viewpoint_reacquisition,delayed_reappearance,drawer_placement,visual_occlusion,0.619,0.0478,0.4156,0.0148,0.2901,0.0066,0.1122,0.0259,0.0459,0.0079,0.0901,0.0243,0.3265,0.0397,0.2738,0.0353,0.7788,0.017,0.2528,0.0028,0.2143,0.0693,7
active_viewpoint_reacquisition,delayed_reappearance,mobile_pick_and_place,cascading_disappearing_goal,0.4915,0.038,0.421,0.0072,0.2971,0.0142,0.2279,0.0257,0.1139,0.0356,0.0952,0.0244,0.3537,0.0258,0.2891,0.0202,0.9004,0.0125,0.2538,0.0087,0.2993,0.0439,7
active_viewpoint_reacquisition,delayed_reappearance,mobile_pick_and_place,goal_specification_changed,0.4983,0.0252,0.4084,0.0114,0.2967,0.0063,0.1922,0.02,0.0884,0.0423,0.0765,0.0133,0.335,0.0362,0.2398,0.0281,0.7761,0.0095,0.2431,0.0047,0.3214,0.031,7
active_viewpoint_reacquisition,delayed_reappearance,mobile_pick_and_place,human_temporary_obstruction,0.5442,0.049,0.4165,0.0073,0.2931,0.009,0.1565,0.0193,0.0663,0.0313,0.0969,0.0271,0.3299,0.0366,0.2908,0.0531,0.7933,0.0132,0.2459,0.0043,0.2772,0.0466,7
active_viewpoint_reacquisition,delayed_reappearance,mobile_pick_and_place,object_moved,0.5374,0.0316,0.4111,0.007,0.2875,0.0077,0.1803,0.0362,0.0595,0.0176,0.0901,0.0112,0.335,0.0442,0.2959,0.0484,0.7242,0.0119,0.2493,0.0054,0.2687,0.0514,7
active_viewpoint_reacquisition,delayed_reappearance,mobile_pick_and_place,object_removed,0.5187,0.01,0.4144,0.0055,0.295,0.0113,0.1956,0.0329,0.1054,0.0336,0.0765,0.0227,0.3469,0.0276,0.2636,0.023,0.7942,0.0155,0.2486,0.0065,0.2806,0.0377,7
active_viewpoint_reacquisition,delayed_reappearance,mobile_pick_and_place,substitute_goal_available,0.4983,0.0382,0.4129,0.0071,0.2919,0.0116,0.165,0.0316,0.0799,0.0237,0.0952,0.0265,0.3299,0.0325,0.2432,0.0333,0.7844,0.0196,0.245,0.0029,0.2908,0.0337,7
active_viewpoint_reacquisition,delayed_reappearance,mobile_pick_and_place,visual_occlusion,0.6156,0.0174,0.4122,0.0042,0.295,0.0071,0.1429,0.0191,0.0493,0.0206,0.1156,0.0348,0.3112,0.0252,0.2381,0.0338,0.8078,0.0172,0.2511,0.0063,0.199,0.0248,7
active_viewpoint_reacquisition,delayed_reappearance,shelf_retrieval,cascading_disappearing_goal,0.5136,0.0365,0.4157,0.0126,0.2957,0.0093,0.1905,0.0292,0.0986,0.03,0.0816,0.0107,0.3214,0.0529,0.2398,0.0303,0.9023,0.0097,0.25,0.0037,0.2993,0.0445,7
active_viewpoint_reacquisition,delayed_reappearance,shelf_retrieval,goal_specification_changed,0.585,0.0307,0.417,0.0055,0.2939,0.0069,0.1684,0.0312,0.0782,0.0133,0.0578,0.018,0.3503,0.0404,0.2738,0.0191,0.7663,0.0114,0.253,0.0059,0.233,0.0391,7
active_viewpoint_reacquisition,delayed_reappearance,shelf_retrieval,human_temporary_obstruction,0.6139,0.0349,0.4193,0.0079,0.2943,0.0093,0.148,0.0168,0.0544,0.019,0.1463,0.0348,0.3401,0.037,0.2704,0.0397,0.794,0.0078,0.2542,0.0078,0.1803,0.0549,7
active_viewpoint_reacquisition,delayed_reappearance,shelf_retrieval,object_moved,0.5323,0.0471,0.4153,0.0138,0.3046,0.0157,0.1599,0.0309,0.051,0.015,0.0935,0.0257,0.3656,0.022,0.25,0.0356,0.7528,0.0186,0.249,0.0069,0.2636,0.0708,7
active_viewpoint_reacquisition,delayed_reappearance,shelf_retrieval,object_removed,0.5646,0.0333,0.412,0.0094,0.3,0.0102,0.1616,0.0243,0.0986,0.0189,0.0748,0.0352,0.2959,0.0332,0.2432,0.0391,0.817,0.0048,0.2452,0.006,0.2398,0.0476,7
active_viewpoint_reacquisition,delayed_reappearance,shelf_retrieval,substitute_goal_available,0.4983,0.0433,0.4179,0.0075,0.2955,0.0037,0.1701,0.0397,0.0799,0.0202,0.0884,0.0209,0.3316,0.0439,0.2908,0.0333,0.7854,0.0082,0.2414,0.0068,0.3078,0.0257,7
active_viewpoint_reacquisition,delayed_reappearance,shelf_retrieval,visual_occlusion,0.6361,0.0419,0.4101,0.0112,0.2872,0.013,0.119,0.0274,0.0357,0.0125,0.1241,0.0168,0.3044,0.0317,0.2653,0.0317,0.7975,0.0127,0.2501,0.006,0.1973,0.0644,7
active_viewpoint_reacquisition,delayed_reappearance,tool_handoff,cascading_disappearing_goal,0.4592,0.07,0.4209,0.0146,0.298,0.008,0.2194,0.0278,0.1276,0.022,0.0969,0.023,0.3435,0.0688,0.2449,0.0416,0.9232,0.0062,0.2486,0.0046,0.3214,0.0834,7
active_viewpoint_reacquisition,delayed_reappearance,tool_handoff,goal_specification_changed,0.5238,0.0292,0.4156,0.0049,0.2899,0.0111,0.2143,0.0475,0.1054,0.0156,0.0646,0.0264,0.3231,0.02,0.233,0.0429,0.7939,0.01,0.2469,0.0047,0.2772,0.0387,7
active_viewpoint_reacquisition,delayed_reappearance,tool_handoff,human_temporary_obstruction,0.5663,0.0461,0.422,0.0104,0.2859,0.0081,0.1293,0.0224,0.0748,0.0291,0.102,0.0112,0.3401,0.0367,0.2687,0.0429,0.7954,0.0138,0.2491,0.0059,0.2347,0.087,7
active_viewpoint_reacquisition,delayed_reappearance,tool_handoff,object_moved,0.534,0.043,0.4227,0.0145,0.2874,0.0093,0.216,0.0267,0.0765,0.0209,0.1054,0.0187,0.3316,0.0187,0.2942,0.0377,0.7445,0.0118,0.2457,0.0105,0.2704,0.0524,7
active_viewpoint_reacquisition,delayed_reappearance,tool_handoff,object_removed,0.5323,0.0263,0.4182,0.0079,0.2865,0.0117,0.182,0.0263,0.1122,0.0254,0.0765,0.019,0.2993,0.0312,0.2551,0.0333,0.8083,0.0163,0.2482,0.0055,0.2602,0.0457,7
active_viewpoint_reacquisition,delayed_reappearance,tool_handoff,substitute_goal_available,0.5238,0.0444,0.4242,0.0065,0.2894,0.0069,0.1463,0.0226,0.0884,0.0215,0.0816,0.0393,0.3112,0.0424,0.2415,0.0434,0.8126,0.0079,0.249,0.0113,0.267,0.0455,7
active_viewpoint_reacquisition,delayed_reappearance,tool_handoff,visual_occlusion,0.602,0.0413,0.4146,0.0081,0.3024,0.0101,0.1446,0.023,0.0442,0.0098,0.1122,0.0301,0.3316,0.054,0.2585,0.0493,0.8067,0.0127,0.2489,0.0062,0.2143,0.0494,7
active_viewpoint_reacquisition,nominal,bin_sorting,cascading_disappearing_goal,0.5374,0.0172,0.4694,0.0119,0.3365,0.0034,0.1276,0.0313,0.0782,0.0243,0.0595,0.0255,0.4405,0.0274,0.2755,0.0418,0.6769,0.0113,0.2441,0.0079,0.2976,0.0367,7
active_viewpoint_reacquisition,nominal,bin_sorting,goal_specification_changed,0.6003,0.0514,0.4758,0.0137,0.3386,0.0119,0.1207,0.0252,0.0493,0.018,0.0527,0.0143,0.4405,0.0204,0.2755,0.0294,0.5967,0.0158,0.2497,0.0048,0.2534,0.04,7
active_viewpoint_reacquisition,nominal,bin_sorting,human_temporary_obstruction,0.6565,0.0224,0.4814,0.0125,0.3421,0.0101,0.0782,0.0133,0.0595,0.0114,0.0901,0.0175,0.4167,0.0265,0.2874,0.0393,0.6052,0.0115,0.2502,0.0085,0.1786,0.0274,7
active_viewpoint_reacquisition,nominal,bin_sorting,object_moved,0.6378,0.0397,0.462,0.0057,0.3527,0.0075,0.1224,0.0182,0.0544,0.0175,0.0612,0.0094,0.4337,0.0325,0.318,0.0278,0.5691,0.0114,0.2423,0.005,0.182,0.0195,7
active_viewpoint_reacquisition,nominal,bin_sorting,object_removed,0.6207,0.0525,0.4677,0.0118,0.3464,0.0102,0.1241,0.0296,0.0527,0.0143,0.0663,0.0233,0.398,0.0413,0.3146,0.0367,0.6155,0.0155,0.2465,0.0032,0.2262,0.0472,7
active_viewpoint_reacquisition,nominal,bin_sorting,substitute_goal_available,0.602,0.0233,0.474,0.0054,0.3433,0.0082,0.085,0.0224,0.0493,0.0281,0.0391,0.0122,0.4422,0.023,0.3027,0.036,0.611,0.008,0.2431,0.0075,0.2211,0.0349,7
active_viewpoint_reacquisition,nominal,bin_sorting,visual_occlusion,0.6241,0.0589,0.4718,0.0075,0.3476,0.0118,0.0646,0.0123,0.0238,0.0125,0.0765,0.019,0.4303,0.05,0.2806,0.0296,0.6055,0.014,0.2483,0.0075,0.2041,0.0754,7
active_viewpoint_reacquisition,nominal,drawer_placement,cascading_disappearing_goal,0.5187,0.0426,0.4745,0.0074,0.3424,0.0142,0.1429,0.0371,0.0969,0.0193,0.0765,0.0283,0.3946,0.0542,0.2381,0.0233,0.6897,0.0169,0.2468,0.0058,0.3163,0.0426,7
active_viewpoint_reacquisition,nominal,drawer_placement,goal_specification_changed,0.5816,0.0465,0.4569,0.0108,0.3389,0.009,0.1054,0.0307,0.068,0.0122,0.0561,0.0182,0.4388,0.0439,0.2755,0.0164,0.619,0.0086,0.2526,0.0052,0.233,0.0183,7
active_viewpoint_reacquisition,nominal,drawer_placement,human_temporary_obstruction,0.6122,0.0438,0.4713,0.0172,0.3465,0.0076,0.0646,0.0069,0.0595,0.0153,0.0799,0.0248,0.4286,0.021,0.2874,0.0365,0.6052,0.0095,0.2519,0.0053,0.233,0.0485,7
active_viewpoint_reacquisition,nominal,drawer_placement,object_moved,0.5833,0.0353,0.4715,0.0089,0.3379,0.0125,0.0935,0.0172,0.0493,0.0119,0.0595,0.0222,0.4218,0.0397,0.2959,0.0379,0.5777,0.0129,0.2491,0.0044,0.233,0.0377,7
active_viewpoint_reacquisition,nominal,drawer_placement,object_removed,0.602,0.0506,0.4803,0.0124,0.3418,0.0132,0.119,0.0318,0.0714,0.0191,0.0544,0.0215,0.4422,0.0427,0.284,0.0246,0.6339,0.0191,0.2477,0.0057,0.2041,0.0508,7
active_viewpoint_reacquisition,nominal,drawer_placement,substitute_goal_available,0.5833,0.0283,0.4693,0.0097,0.3517,0.0099,0.131,0.0297,0.0629,0.0122,0.051,0.0214,0.4626,0.0172,0.2908,0.0269,0.6133,0.0165,0.2458,0.0063,0.2517,0.0399,7
active_viewpoint_reacquisition,nominal,drawer_placement,visual_occlusion,0.6616,0.0377,0.481,0.0079,0.3346,0.0098,0.0782,0.0152,0.0306,0.0123,0.1105,0.0174,0.4405,0.0374,0.2857,0.0255,0.6161,0.0121,0.247,0.0056,0.1854,0.0496,7
active_viewpoint_reacquisition,nominal,mobile_pick_and_place,cascading_disappearing_goal,0.5442,0.0333,0.4747,0.0087,0.3448,0.0044,0.1293,0.0252,0.0765,0.0183,0.0765,0.0209,0.4575,0.0452,0.2415,0.0287,0.6895,0.0074,0.2572,0.0057,0.2517,0.032,7
active_viewpoint_reacquisition,nominal,mobile_pick_and_place,goal_specification_changed,0.5493,0.0354,0.4716,0.0113,0.3338,0.0098,0.1412,0.0172,0.0612,0.0187,0.0459,0.0187,0.4252,0.0208,0.2959,0.0316,0.6224,0.0133,0.246,0.0076,0.2976,0.042,7
active_viewpoint_reacquisition,nominal,mobile_pick_and_place,human_temporary_obstruction,0.6156,0.0466,0.4654,0.0077,0.3476,0.0088,0.085,0.0172,0.0714,0.0197,0.1054,0.0271,0.4507,0.0393,0.3044,0.0534,0.6125,0.0211,0.2473,0.006,0.2092,0.0524,7
active_viewpoint_reacquisition,nominal,mobile_pick_and_place,object_moved,0.5765,0.0349,0.4677,0.012,0.3448,0.0047,0.0918,0.015,0.0612,0.0224,0.0595,0.021,0.4439,0.0477,0.2585,0.0291,0.5713,0.0098,0.2511,0.0049,0.2449,0.0499,7
active_viewpoint_reacquisition,nominal,mobile_pick_and_place,object_removed,0.6259,0.0617,0.4651,0.0088,0.3412,0.0097,0.1054,0.0213,0.068,0.0214,0.0561,0.0202,0.4456,0.0416,0.2619,0.0314,0.6402,0.0149,0.2472,0.0079,0.1973,0.0908,7
active_viewpoint_reacquisition,nominal,mobile_pick_and_place,substitute_goal_available,0.585,0.0424,0.4673,0.0119,0.3359,0.0095,0.1173,0.0148,0.0476,0.0204,0.0578,0.0267,0.4201,0.0366,0.3112,0.032,0.6154,0.0142,0.2452,0.0041,0.2313,0.0466,7
