method,split,task,regime,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_regret_to_oracle,ci95_regret_to_oracle,groups
active_viewpoint_reacquisition,combined_disappearance_stress,bin_sorting,cascading_disappearing_goal,0.4388,0.0457,0.3779,0.0097,0.2703,0.0107,0.2211,0.0333,0.1037,0.0263,0.0986,0.0232,0.318,0.0329,0.2126,0.0219,0.917,0.0141,0.2495,0.0043,0.381,0.0662,7
active_viewpoint_reacquisition,combined_disappearance_stress,bin_sorting,goal_specification_changed,0.5068,0.0553,0.389,0.0079,0.275,0.0063,0.2279,0.0294,0.0697,0.0241,0.0612,0.0148,0.3571,0.0411,0.2228,0.03,0.7849,0.0121,0.2432,0.0062,0.3146,0.0356,7
active_viewpoint_reacquisition,combined_disappearance_stress,bin_sorting,human_temporary_obstruction,0.602,0.0381,0.3761,0.0088,0.2702,0.007,0.1463,0.0208,0.0612,0.0206,0.0935,0.0148,0.3299,0.0496,0.2381,0.0306,0.7723,0.0107,0.2468,0.0067,0.2109,0.0587,7
active_viewpoint_reacquisition,combined_disappearance_stress,bin_sorting,object_moved,0.5187,0.0305,0.3826,0.0142,0.2676,0.0089,0.1854,0.0309,0.0697,0.0139,0.0816,0.0193,0.3095,0.0426,0.2245,0.0386,0.7264,0.0087,0.2478,0.0068,0.2806,0.055,7
active_viewpoint_reacquisition,combined_disappearance_stress,bin_sorting,object_removed,0.5119,0.0306,0.3822,0.0117,0.2778,0.0093,0.2058,0.0321,0.0697,0.0246,0.068,0.0159,0.3316,0.0285,0.2279,0.0365,0.8206,0.0033,0.2502,0.0054,0.3163,0.04,7
active_viewpoint_reacquisition,combined_disappearance_stress,bin_sorting,substitute_goal_available,0.4847,0.0325,0.3851,0.01,0.2626,0.0079,0.1803,0.0193,0.0731,0.0139,0.0816,0.0193,0.3418,0.0425,0.2398,0.0479,0.7881,0.0153,0.2486,0.0071,0.3367,0.0493,7
active_viewpoint_reacquisition,combined_disappearance_stress,bin_sorting,visual_occlusion,0.5952,0.0483,0.3816,0.0069,0.2772,0.0113,0.1122,0.0112,0.0391,0.0159,0.0952,0.0297,0.3282,0.0509,0.2364,0.0343,0.7763,0.0149,0.2499,0.0042,0.2381,0.0507,7
active_viewpoint_reacquisition,combined_disappearance_stress,drawer_placement,cascading_disappearing_goal,0.4167,0.0622,0.3798,0.013,0.275,0.0145,0.2449,0.0301,0.1105,0.0208,0.0833,0.0102,0.3027,0.0352,0.2109,0.0363,0.9582,0.0062,0.2519,0.0071,0.3639,0.0634,7
active_viewpoint_reacquisition,combined_disappearance_stress,drawer_placement,goal_specification_changed,0.4643,0.0233,0.3902,0.0088,0.2776,0.0086,0.2143,0.0144,0.0935,0.0219,0.0867,0.0248,0.3163,0.0384,0.2007,0.0436,0.8244,0.0196,0.2498,0.0042,0.3078,0.0213,7
active_viewpoint_reacquisition,combined_disappearance_stress,drawer_placement,human_temporary_obstruction,0.5833,0.0504,0.3875,0.011,0.2869,0.0068,0.1378,0.0283,0.0884,0.0264,0.1276,0.0253,0.3503,0.0485,0.2636,0.0299,0.7859,0.0131,0.2531,0.0053,0.2228,0.0531,7
active_viewpoint_reacquisition,combined_disappearance_stress,drawer_placement,object_moved,0.4915,0.0253,0.3786,0.0123,0.2657,0.0113,0.1837,0.0313,0.068,0.0098,0.0765,0.0243,0.3554,0.023,0.2636,0.0299,0.742,0.0197,0.248,0.0024,0.3299,0.0543,7
active_viewpoint_reacquisition,combined_disappearance_stress,drawer_placement,object_removed,0.5051,0.0394,0.3823,0.0106,0.2743,0.0096,0.2245,0.0219,0.1173,0.0262,0.0731,0.0219,0.3299,0.0428,0.182,0.0098,0.8536,0.0139,0.2448,0.007,0.284,0.0372,7
active_viewpoint_reacquisition,combined_disappearance_stress,drawer_placement,substitute_goal_available,0.4694,0.0309,0.3928,0.0108,0.2714,0.0113,0.1922,0.0354,0.0901,0.0278,0.0918,0.0067,0.335,0.0393,0.2381,0.0342,0.8135,0.0082,0.2535,0.0059,0.3401,0.0432,7
active_viewpoint_reacquisition,combined_disappearance_stress,drawer_placement,visual_occlusion,0.5765,0.0387,0.3942,0.0133,0.2796,0.0113,0.1327,0.0213,0.0527,0.0112,0.1139,0.0196,0.3282,0.0446,0.2466,0.055,0.7784,0.0172,0.2491,0.0072,0.2143,0.0381,7
active_viewpoint_reacquisition,combined_disappearance_stress,mobile_pick_and_place,cascading_disappearing_goal,0.381,0.0622,0.3797,0.0118,0.2829,0.0109,0.2517,0.02,0.131,0.0191,0.102,0.0168,0.335,0.0224,0.2177,0.0387,0.9619,0.0124,0.2483,0.0067,0.381,0.0694,7
active_viewpoint_reacquisition,combined_disappearance_stress,mobile_pick_and_place,goal_specification_changed,0.4949,0.037,0.3856,0.0082,0.2711,0.0149,0.1973,0.0384,0.0748,0.0159,0.0629,0.0159,0.3367,0.0282,0.2211,0.0381,0.8194,0.0096,0.2532,0.0084,0.3401,0.0506,7
