method,split,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_regret_to_oracle,ci95_regret_to_oracle,groups
active_viewpoint_reacquisition,combined_disappearance_stress,0,0.5031,0.022,0.3825,0.0046,0.2736,0.0056,0.1833,0.0181,0.0864,0.0122,0.081,0.0085,0.3367,0.0198,0.2507,0.0182,0.8246,0.0226,0.2492,0.0026,0.2823,0.025,35
active_viewpoint_reacquisition,combined_disappearance_stress,1,0.5085,0.0295,0.3839,0.005,0.2741,0.005,0.167,0.0166,0.083,0.0111,0.0908,0.011,0.3327,0.0155,0.2211,0.0155,0.8278,0.0213,0.2497,0.0032,0.2912,0.0289,35
active_viewpoint_reacquisition,combined_disappearance_stress,2,0.5099,0.0229,0.3872,0.0037,0.2755,0.0044,0.1741,0.0187,0.0803,0.012,0.0908,0.0111,0.331,0.0202,0.2259,0.0173,0.8211,0.0231,0.2477,0.0028,0.3,0.0283,35
active_viewpoint_reacquisition,combined_disappearance_stress,3,0.5065,0.0287,0.3832,0.0046,0.2767,0.0051,0.1844,0.0182,0.0932,0.0093,0.0946,0.0097,0.3272,0.0151,0.2279,0.0166,0.8181,0.0218,0.2507,0.0028,0.2986,0.0287,35
active_viewpoint_reacquisition,combined_disappearance_stress,4,0.4864,0.0255,0.3843,0.0048,0.2729,0.0036,0.1765,0.0207,0.0776,0.0121,0.0915,0.0119,0.335,0.0163,0.231,0.0172,0.827,0.0231,0.2508,0.0029,0.3184,0.0298,35
active_viewpoint_reacquisition,combined_disappearance_stress,5,0.5116,0.025,0.3837,0.0049,0.2755,0.0053,0.199,0.02,0.0813,0.0113,0.0874,0.0119,0.3313,0.0165,0.2418,0.0211,0.8247,0.0221,0.2489,0.0033,0.302,0.0261,35
active_viewpoint_reacquisition,combined_disappearance_stress,6,0.5024,0.0247,0.3818,0.0046,0.2733,0.0055,0.184,0.016,0.0837,0.0122,0.0939,0.0095,0.3214,0.0146,0.2391,0.0186,0.8286,0.0214,0.2509,0.0031,0.302,0.0242,35
active_viewpoint_reacquisition,delayed_reappearance,0,0.5541,0.0216,0.4142,0.0042,0.2944,0.0044,0.1912,0.0162,0.0765,0.0123,0.0844,0.0117,0.3173,0.0174,0.2473,0.0149,0.7998,0.0177,0.2463,0.0033,0.2561,0.0254,35
active_viewpoint_reacquisition,delayed_reappearance,1,0.5374,0.0243,0.4199,0.0039,0.294,0.005,0.1694,0.017,0.0789,0.0098,0.0963,0.014,0.334,0.0148,0.2599,0.0153,0.792,0.0166,0.2473,0.003,0.2735,0.0278,35
active_viewpoint_reacquisition,delayed_reappearance,2,0.5412,0.0201,0.4123,0.0049,0.2911,0.0053,0.1701,0.014,0.0752,0.0127,0.0935,0.0122,0.3248,0.0167,0.2588,0.0146,0.7975,0.0169,0.248,0.0033,0.2646,0.0244,35
