method,split,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_regret_to_oracle,ci95_regret_to_oracle,groups
active_viewpoint_reacquisition,delayed_reappearance,3,0.5378,0.0224,0.4159,0.004,0.2932,0.0045,0.1724,0.0179,0.0755,0.011,0.0918,0.0131,0.3282,0.0149,0.2724,0.0202,0.7957,0.0182,0.2478,0.0032,0.2724,0.0255,35
active_viewpoint_reacquisition,delayed_reappearance,4,0.5544,0.0232,0.4156,0.0043,0.2934,0.0041,0.182,0.0224,0.081,0.0136,0.0895,0.0096,0.335,0.018,0.2677,0.0192,0.7981,0.0166,0.2488,0.0032,0.2585,0.0265,35
active_viewpoint_reacquisition,delayed_reappearance,5,0.5476,0.0238,0.4153,0.0045,0.295,0.0039,0.167,0.0166,0.0786,0.0129,0.0929,0.0114,0.3299,0.0149,0.2578,0.0164,0.8003,0.0185,0.2491,0.0023,0.2609,0.0238,35
active_viewpoint_reacquisition,delayed_reappearance,6,0.5476,0.0218,0.4154,0.0044,0.2902,0.0033,0.1704,0.0167,0.0748,0.0128,0.0901,0.0114,0.3143,0.0206,0.2531,0.017,0.7984,0.0165,0.2504,0.0028,0.2619,0.0251,35
active_viewpoint_reacquisition,nominal,0,0.5925,0.0171,0.4717,0.0043,0.3445,0.0034,0.1048,0.0117,0.0622,0.0096,0.0684,0.011,0.4241,0.0174,0.284,0.0174,0.621,0.0133,0.248,0.0027,0.234,0.0216,35
active_viewpoint_reacquisition,nominal,1,0.5857,0.0245,0.4748,0.0051,0.3421,0.0048,0.099,0.0117,0.0639,0.0082,0.065,0.0089,0.4378,0.0165,0.2908,0.0189,0.6225,0.0131,0.2514,0.0031,0.2367,0.0273,35
active_viewpoint_reacquisition,nominal,2,0.5952,0.0224,0.4689,0.0048,0.3404,0.0046,0.1031,0.0128,0.0595,0.0091,0.0769,0.0102,0.4391,0.0165,0.2816,0.0154,0.6216,0.0126,0.2468,0.0029,0.2429,0.0236,35
active_viewpoint_reacquisition,nominal,3,0.5874,0.0213,0.4721,0.0049,0.3393,0.0046,0.1048,0.0119,0.0588,0.0078,0.065,0.0093,0.4248,0.0199,0.282,0.0157,0.6227,0.0118,0.2455,0.0022,0.2391,0.0232,35
active_viewpoint_reacquisition,nominal,4,0.5871,0.0192,0.4707,0.0062,0.3423,0.0045,0.1116,0.0131,0.0527,0.011,0.0769,0.0109,0.4265,0.0168,0.2762,0.0172,0.6229,0.012,0.249,0.0022,0.2442,0.0231,35
active_viewpoint_reacquisition,nominal,5,0.615,0.0218,0.4716,0.0048,0.3439,0.0044,0.1126,0.0125,0.0548,0.0096,0.065,0.0113,0.4221,0.014,0.2789,0.0162,0.6214,0.0144,0.2455,0.0031,0.2173,0.0256,35
active_viewpoint_reacquisition,nominal,6,0.5799,0.0209,0.4727,0.0049,0.3424,0.0043,0.1078,0.0135,0.0561,0.0101,0.0741,0.0113,0.433,0.0186,0.2881,0.0202,0.6248,0.0136,0.2476,0.0025,0.2503,0.0231,35
active_viewpoint_reacquisition,occlusion_heavy_shift,0,0.5612,0.0218,0.4128,0.0038,0.3313,0.0048,0.1415,0.0161,0.069,0.0083,0.0844,0.011,0.3779,0.0162,0.2616,0.0146,0.7114,0.0194,0.2507,0.0027,0.2622,0.0205,35
active_viewpoint_reacquisition,occlusion_heavy_shift,1,0.568,0.0203,0.4135,0.0045,0.3308,0.0045,0.1289,0.016,0.0759,0.0139,0.0748,0.0101,0.3582,0.021,0.2718,0.0167,0.7157,0.0167,0.2463,0.0029,0.2486,0.0237,35
active_viewpoint_reacquisition,occlusion_heavy_shift,2,0.5677,0.0244,0.4143,0.0045,0.3285,0.0051,0.1323,0.0159,0.0663,0.0082,0.0864,0.0143,0.3837,0.0199,0.2752,0.017,0.7114,0.0178,0.2484,0.0035,0.2422,0.0282,35
active_viewpoint_reacquisition,occlusion_heavy_shift,3,0.5554,0.0248,0.4117,0.0045,0.3269,0.0051,0.1398,0.0161,0.066,0.0105,0.0745,0.011,0.3697,0.014,0.2633,0.0156,0.7094,0.0168,0.2482,0.0025,0.2656,0.0256,35
active_viewpoint_reacquisition,occlusion_heavy_shift,4,0.5718,0.0227,0.4125,0.0053,0.3319,0.0037,0.1323,0.0181,0.0684,0.0115,0.0888,0.0129,0.3738,0.0209,0.2694,0.0141,0.7143,0.0185,0.2482,0.0038,0.2439,0.0247,35
active_viewpoint_reacquisition,occlusion_heavy_shift,5,0.5663,0.0198,0.4107,0.0049,0.328,0.0041,0.1259,0.0127,0.0789,0.0099,0.0731,0.0119,0.3588,0.0148,0.2765,0.0167,0.7112,0.0181,0.2494,0.0026,0.2578,0.0243,35
active_viewpoint_reacquisition,occlusion_heavy_shift,6,0.5446,0.0276,0.4114,0.0039,0.3277,0.0043,0.1255,0.0117,0.0626,0.009,0.0844,0.0101,0.3663,0.0164,0.2765,0.0196,0.7106,0.0181,0.2493,0.0029,0.2833,0.0272,35
active_viewpoint_reacquisition,physical_removal_shift,0,0.5486,0.0234,0.406,0.0042,0.3118,0.0046,0.1531,0.017,0.0861,0.0128,0.0718,0.0127,0.3871,0.0194,0.2395,0.0185,0.7212,0.0189,0.2485,0.0037,0.2541,0.0265,35
active_viewpoint_reacquisition,physical_removal_shift,1,0.5299,0.0242,0.4141,0.0041,0.3118,0.0042,0.1439,0.0177,0.0847,0.0123,0.0844,0.01,0.3973,0.0172,0.2367,0.0187,0.7219,0.0189,0.2466,0.0026,0.2898,0.0225,35
active_viewpoint_reacquisition,physical_removal_shift,2,0.5316,0.026,0.4106,0.004,0.31,0.0053,0.1476,0.0153,0.0827,0.0112,0.0731,0.0101,0.383,0.0163,0.2476,0.0157,0.7245,0.0181,0.2494,0.0029,0.2844,0.0258,35
active_viewpoint_reacquisition,physical_removal_shift,3,0.5299,0.0243,0.4063,0.0054,0.308,0.0041,0.1507,0.0192,0.0806,0.012,0.0755,0.0107,0.3898,0.0192,0.2374,0.0162,0.723,0.0196,0.248,0.0034,0.2823,0.0251,35
active_viewpoint_reacquisition,physical_removal_shift,4,0.533,0.0192,0.4088,0.0045,0.3108,0.0041,0.1541,0.0223,0.084,0.0135,0.0878,0.0128,0.3901,0.017,0.2554,0.0168,0.7204,0.0213,0.2478,0.003,0.2803,0.019,35
active_viewpoint_reacquisition,physical_removal_shift,5,0.551,0.0262,0.4103,0.0047,0.3097,0.0038,0.1401,0.0136,0.0711,0.0109,0.0738,0.0106,0.4007,0.015,0.2527,0.0138,0.7228,0.0194,0.2479,0.003,0.2578,0.0309,35
active_viewpoint_reacquisition,physical_removal_shift,6,0.5367,0.0192,0.4132,0.0041,0.309,0.0049,0.1507,0.0146,0.081,0.013,0.0748,0.0106,0.3963,0.0218,0.2588,0.0126,0.7199,0.0207,0.2493,0.003,0.2745,0.0237,35
failure_aware_manipulation_policy,combined_disappearance_stress,0,0.5609,0.0204,0.4393,0.0039,0.4124,0.0041,0.1337,0.0168,0.0585,0.0109,0.0901,0.0152,0.2844,0.0149,0.3612,0.0163,0.7999,0.0221,0.2276,0.0022,0.2245,0.0282,35
failure_aware_manipulation_policy,combined_disappearance_stress,1,0.5612,0.0152,0.4353,0.005,0.4128,0.0054,0.135,0.0151,0.0663,0.0119,0.0986,0.0179,0.2935,0.0164,0.348,0.0186,0.7894,0.0223,0.2255,0.0021,0.2384,0.0215,35
failure_aware_manipulation_policy,combined_disappearance_stress,2,0.5656,0.0217,0.4394,0.0043,0.4135,0.0048,0.1313,0.0158,0.0595,0.0102,0.0895,0.011,0.2697,0.0165,0.365,0.0173,0.7873,0.021,0.2263,0.0031,0.2442,0.0259,35
failure_aware_manipulation_policy,combined_disappearance_stress,3,0.5585,0.0243,0.4383,0.0064,0.4142,0.0048,0.1286,0.0193,0.0673,0.0129,0.0874,0.0152,0.2905,0.0121,0.3602,0.0205,0.7877,0.0224,0.2249,0.0026,0.2466,0.0271,35
failure_aware_manipulation_policy,combined_disappearance_stress,4,0.5558,0.0225,0.4398,0.0043,0.4145,0.0036,0.132,0.0145,0.0633,0.0123,0.0939,0.0142,0.301,0.0187,0.367,0.0168,0.7879,0.0215,0.2268,0.0031,0.249,0.0277,35
failure_aware_manipulation_policy,combined_disappearance_stress,5,0.5653,0.0182,0.4416,0.0046,0.4155,0.0051,0.1395,0.0152,0.0694,0.0087,0.0932,0.0143,0.2827,0.0135,0.3551,0.0171,0.7847,0.0211,0.2261,0.0029,0.2483,0.0183,35
failure_aware_manipulation_policy,combined_disappearance_stress,6,0.5565,0.0214,0.4364,0.0049,0.4144,0.0054,0.1293,0.0136,0.0534,0.0076,0.0891,0.0115,0.2803,0.0151,0.3724,0.0178,0.7873,0.0225,0.2272,0.0025,0.248,0.0207,35
failure_aware_manipulation_policy,delayed_reappearance,0,0.5789,0.0242,0.4692,0.0052,0.4391,0.0049,0.1371,0.0167,0.0609,0.0112,0.0969,0.0142,0.2854,0.0172,0.4031,0.0196,0.7675,0.0177,0.2231,0.0023,0.2313,0.0296,35
failure_aware_manipulation_policy,delayed_reappearance,1,0.5847,0.0186,0.4716,0.0048,0.4368,0.004,0.1282,0.0135,0.0602,0.0088,0.0908,0.0135,0.2789,0.0109,0.3956,0.021,0.7626,0.0167,0.2257,0.0032,0.2262,0.0235,35
failure_aware_manipulation_policy,delayed_reappearance,2,0.5861,0.0221,0.4692,0.0046,0.4377,0.0046,0.1323,0.0126,0.0469,0.0087,0.082,0.0101,0.2803,0.0156,0.3966,0.0221,0.7659,0.0167,0.2235,0.0027,0.2201,0.0245,35
failure_aware_manipulation_policy,delayed_reappearance,3,0.581,0.0227,0.4667,0.0049,0.4356,0.0054,0.1361,0.0154,0.0616,0.0113,0.0935,0.0173,0.2969,0.0164,0.3901,0.0171,0.7647,0.0169,0.2251,0.0024,0.2293,0.0258,35
failure_aware_manipulation_policy,delayed_reappearance,4,0.5833,0.016,0.4694,0.006,0.4352,0.0034,0.1228,0.0155,0.0497,0.0077,0.0963,0.0132,0.2762,0.016,0.3959,0.0155,0.7695,0.0173,0.2241,0.0027,0.2296,0.0186,35
failure_aware_manipulation_policy,delayed_reappearance,5,0.5963,0.0172,0.4678,0.0052,0.4354,0.0041,0.1269,0.0141,0.0531,0.0085,0.0932,0.0169,0.2816,0.0176,0.3891,0.0177,0.7674,0.0193,0.2242,0.0024,0.2122,0.0179,35
failure_aware_manipulation_policy,delayed_reappearance,6,0.5878,0.019,0.4705,0.0053,0.437,0.0058,0.1364,0.0169,0.0507,0.0103,0.0925,0.0138,0.282,0.0174,0.3963,0.0197,0.767,0.0176,0.2256,0.0026,0.2218,0.0226,35
failure_aware_manipulation_policy,nominal,0,0.6316,0.0219,0.5214,0.0048,0.4844,0.0042,0.0857,0.0121,0.0395,0.0073,0.065,0.0105,0.3827,0.0159,0.4184,0.0151,0.5892,0.0132,0.2223,0.0028,0.1959,0.0249,35
failure_aware_manipulation_policy,nominal,1,0.6122,0.0185,0.5273,0.0047,0.4823,0.0046,0.081,0.0097,0.0469,0.0084,0.0619,0.0092,0.4014,0.0172,0.4255,0.0178,0.5909,0.0124,0.2268,0.003,0.2102,0.0228,35
failure_aware_manipulation_policy,nominal,2,0.6286,0.0221,0.5199,0.0044,0.4822,0.0043,0.0789,0.0095,0.0401,0.0053,0.0588,0.0102,0.3925,0.0191,0.4139,0.0167,0.5942,0.0118,0.2212,0.0027,0.2095,0.0224,35
failure_aware_manipulation_policy,nominal,3,0.6381,0.0203,0.5214,0.0049,0.4863,0.005,0.0837,0.0115,0.0449,0.007,0.0656,0.0094,0.3884,0.0192,0.4136,0.0209,0.5926,0.013,0.225,0.0023,0.1884,0.0239,35
failure_aware_manipulation_policy,nominal,4,0.6286,0.0219,0.5235,0.0039,0.4825,0.0047,0.0718,0.0113,0.0361,0.0063,0.0663,0.0116,0.417,0.0191,0.418,0.0165,0.5854,0.0126,0.2231,0.0025,0.2027,0.0241,35
failure_aware_manipulation_policy,nominal,5,0.6636,0.0198,0.5235,0.0057,0.481,0.0052,0.0684,0.0121,0.0442,0.0061,0.0684,0.0111,0.4065,0.0199,0.417,0.019,0.5942,0.0124,0.2239,0.0031,0.1687,0.0233,35
failure_aware_manipulation_policy,nominal,6,0.6269,0.0224,0.5238,0.0055,0.4831,0.0046,0.0806,0.0135,0.0463,0.0083,0.0714,0.0122,0.3925,0.0153,0.4272,0.0228,0.5855,0.0128,0.2244,0.0027,0.2034,0.0225,35
failure_aware_manipulation_policy,occlusion_heavy_shift,0,0.5966,0.021,0.4641,0.0046,0.4648,0.0043,0.0925,0.0129,0.05,0.0083,0.0895,0.01,0.3364,0.0189,0.3966,0.015,0.6803,0.0192,0.2235,0.003,0.2269,0.0238,35
failure_aware_manipulation_policy,occlusion_heavy_shift,1,0.6126,0.0193,0.462,0.0041,0.4657,0.0042,0.0966,0.0128,0.0537,0.0089,0.0922,0.0139,0.3371,0.0164,0.415,0.0169,0.6788,0.0162,0.224,0.0027,0.2041,0.0239,35
failure_aware_manipulation_policy,occlusion_heavy_shift,2,0.6068,0.0218,0.4708,0.0053,0.4723,0.0049,0.099,0.0135,0.0534,0.0108,0.083,0.0129,0.3384,0.0188,0.4058,0.0187,0.6801,0.0188,0.2242,0.0023,0.2031,0.026,35
failure_aware_manipulation_policy,occlusion_heavy_shift,3,0.598,0.0157,0.4616,0.0036,0.4663,0.0039,0.0963,0.0136,0.0527,0.0115,0.0861,0.0154,0.3452,0.0157,0.4099,0.0157,0.6827,0.0194,0.2245,0.0029,0.2231,0.0191,35
failure_aware_manipulation_policy,occlusion_heavy_shift,4,0.5946,0.018,0.4681,0.0048,0.4718,0.004,0.0946,0.0143,0.0503,0.0088,0.0861,0.0108,0.3391,0.0177,0.4133,0.0161,0.6787,0.0185,0.2254,0.0026,0.2211,0.0246,35
failure_aware_manipulation_policy,occlusion_heavy_shift,5,0.5956,0.0195,0.4634,0.0052,0.4713,0.0045,0.0939,0.0128,0.0517,0.0107,0.0969,0.0155,0.3259,0.0206,0.3915,0.0154,0.6841,0.0186,0.2252,0.0027,0.2286,0.0214,35
failure_aware_manipulation_policy,occlusion_heavy_shift,6,0.6037,0.0229,0.4664,0.005,0.4713,0.0048,0.099,0.0139,0.048,0.0101,0.0929,0.0158,0.3422,0.0217,0.4044,0.0181,0.6833,0.0168,0.2253,0.0028,0.2241,0.0247,35
failure_aware_manipulation_policy,physical_removal_shift,0,0.5786,0.0233,0.4632,0.0052,0.4538,0.0045,0.1041,0.0152,0.0544,0.0122,0.0748,0.0104,0.3561,0.0178,0.3711,0.0182,0.6875,0.0203,0.2238,0.003,0.2241,0.0239,35
failure_aware_manipulation_policy,physical_removal_shift,1,0.5969,0.0203,0.4641,0.0042,0.4533,0.0036,0.1007,0.0139,0.0595,0.0117,0.0772,0.0103,0.3656,0.0187,0.3752,0.0155,0.6951,0.0204,0.225,0.0028,0.2228,0.0225,35
failure_aware_manipulation_policy,physical_removal_shift,2,0.6078,0.0247,0.4666,0.0047,0.4517,0.0057,0.1092,0.0169,0.0626,0.0108,0.0871,0.0131,0.3602,0.0138,0.3701,0.0185,0.6945,0.0184,0.2257,0.0022,0.2082,0.0233,35
failure_aware_manipulation_policy,physical_removal_shift,3,0.5837,0.024,0.4637,0.0046,0.4505,0.0048,0.1071,0.0149,0.0588,0.011,0.0854,0.0137,0.3551,0.021,0.3922,0.0153,0.6832,0.0191,0.2244,0.0024,0.2293,0.0312,35
failure_aware_manipulation_policy,physical_removal_shift,4,0.5993,0.0197,0.4604,0.0054,0.4478,0.0038,0.1061,0.0141,0.0497,0.011,0.0748,0.0122,0.3527,0.0162,0.3786,0.0175,0.6926,0.0171,0.2227,0.0034,0.2139,0.0258,35
failure_aware_manipulation_policy,physical_removal_shift,5,0.5891,0.0166,0.4641,0.0051,0.4501,0.0052,0.1116,0.0165,0.0582,0.0105,0.0837,0.0094,0.3554,0.0184,0.3782,0.0193,0.6923,0.0195,0.226,0.003,0.2197,0.0196,35
failure_aware_manipulation_policy,physical_removal_shift,6,0.5963,0.0188,0.4686,0.0038,0.4549,0.0044,0.1109,0.0154,0.0568,0.008,0.0796,0.0122,0.3578,0.017,0.3833,0.0178,0.6888,0.0207,0.2236,0.0029,0.215,0.0234,35
goal_retargeting_heuristic,combined_disappearance_stress,0,0.5207,0.0271,0.3583,0.004,0.4192,0.0039,0.1578,0.0239,0.0755,0.0127,0.1078,0.0154,0.2248,0.0137,0.3721,0.0198,0.8607,0.0217,0.217,0.0034,0.2646,0.0292,35
goal_retargeting_heuristic,combined_disappearance_stress,1,0.5061,0.0242,0.3549,0.0048,0.4178,0.0047,0.1531,0.0192,0.0772,0.0134,0.1184,0.018,0.2204,0.0162,0.3582,0.0175,0.8605,0.0215,0.2207,0.0029,0.2935,0.0274,35
goal_retargeting_heuristic,combined_disappearance_stress,2,0.5218,0.0225,0.3577,0.0049,0.4233,0.0047,0.1493,0.0171,0.0793,0.0135,0.1116,0.0169,0.2167,0.0196,0.3582,0.0151,0.8588,0.0213,0.2195,0.0037,0.2881,0.0207,35
goal_retargeting_heuristic,combined_disappearance_stress,3,0.5153,0.0246,0.3566,0.0052,0.4218,0.0046,0.1548,0.018,0.0704,0.012,0.1139,0.0159,0.2075,0.0145,0.3626,0.021,0.8564,0.0212,0.218,0.0023,0.2898,0.0238,35
goal_retargeting_heuristic,combined_disappearance_stress,4,0.4956,0.0279,0.3593,0.0055,0.4275,0.0044,0.1483,0.0171,0.0752,0.0126,0.1095,0.0128,0.2058,0.0136,0.3554,0.014,0.8582,0.0202,0.218,0.0029,0.3092,0.0325,35
goal_retargeting_heuristic,combined_disappearance_stress,5,0.5116,0.0266,0.3606,0.0056,0.4173,0.0054,0.1554,0.02,0.0735,0.0107,0.1252,0.0196,0.2255,0.0176,0.3473,0.0188,0.8609,0.0224,0.2187,0.0033,0.302,0.0257,35
goal_retargeting_heuristic,combined_disappearance_stress,6,0.4976,0.0215,0.3569,0.0049,0.4255,0.0056,0.1568,0.0216,0.0673,0.0108,0.1211,0.0197,0.2184,0.0144,0.3646,0.0178,0.8558,0.0205,0.2191,0.0021,0.3068,0.0247,35
goal_retargeting_heuristic,delayed_reappearance,0,0.5211,0.0201,0.393,0.0041,0.4402,0.0048,0.1439,0.018,0.0629,0.0082,0.1048,0.0168,0.2112,0.0139,0.3878,0.0155,0.8357,0.0175,0.2187,0.0026,0.2891,0.0247,35
goal_retargeting_heuristic,delayed_reappearance,1,0.5544,0.021,0.3881,0.0046,0.4396,0.0045,0.1323,0.0152,0.0714,0.0095,0.1058,0.0155,0.2119,0.0169,0.4037,0.0215,0.8341,0.0173,0.2208,0.0033,0.2565,0.0241,35
goal_retargeting_heuristic,delayed_reappearance,2,0.5405,0.0227,0.3904,0.0052,0.4435,0.0045,0.135,0.0181,0.0616,0.0081,0.1041,0.0154,0.2109,0.0131,0.3935,0.0203,0.8288,0.0175,0.2184,0.0028,0.2653,0.0235,35
goal_retargeting_heuristic,delayed_reappearance,3,0.5565,0.0221,0.3897,0.0046,0.4439,0.0037,0.1289,0.0144,0.0694,0.0114,0.1065,0.0178,0.2279,0.016,0.3799,0.0186,0.8338,0.0173,0.2188,0.0031,0.2537,0.0255,35
goal_retargeting_heuristic,delayed_reappearance,4,0.5507,0.0204,0.3868,0.0051,0.4409,0.005,0.1452,0.0162,0.0626,0.0097,0.1054,0.0169,0.2224,0.0155,0.399,0.0174,0.8334,0.0188,0.2177,0.0024,0.2622,0.0235,35
goal_retargeting_heuristic,delayed_reappearance,5,0.5446,0.0238,0.3884,0.004,0.4414,0.0046,0.1395,0.0166,0.0599,0.0083,0.1296,0.0152,0.2017,0.015,0.4054,0.0146,0.8323,0.0192,0.2181,0.0026,0.2639,0.0257,35
goal_retargeting_heuristic,delayed_reappearance,6,0.55,0.0203,0.3884,0.0043,0.4463,0.0041,0.1378,0.0165,0.067,0.0097,0.1027,0.0139,0.2184,0.0162,0.3827,0.0174,0.8332,0.0187,0.219,0.0025,0.2595,0.0236,35
goal_retargeting_heuristic,nominal,0,0.6078,0.0213,0.4444,0.004,0.4909,0.0046,0.0779,0.0117,0.0422,0.0086,0.0908,0.0139,0.315,0.0169,0.4357,0.0177,0.6573,0.0127,0.2185,0.0031,0.2187,0.0262,35
goal_retargeting_heuristic,nominal,1,0.5997,0.0206,0.4491,0.0048,0.4897,0.0042,0.0803,0.0132,0.0432,0.0068,0.081,0.0109,0.3262,0.0183,0.4401,0.0159,0.653,0.0125,0.2178,0.0025,0.2228,0.0255,35
goal_retargeting_heuristic,nominal,2,0.617,0.0215,0.4405,0.0042,0.4898,0.0041,0.0755,0.0088,0.0544,0.0072,0.0776,0.0111,0.3136,0.0177,0.4078,0.0189,0.6579,0.0121,0.2158,0.0026,0.2211,0.0238,35
goal_retargeting_heuristic,nominal,3,0.5867,0.0206,0.4417,0.0044,0.4892,0.004,0.0837,0.0123,0.0442,0.0094,0.0871,0.0121,0.3408,0.0148,0.4235,0.0159,0.6604,0.0137,0.2174,0.0023,0.2398,0.0219,35
goal_retargeting_heuristic,nominal,4,0.6075,0.0204,0.4393,0.0049,0.4897,0.0055,0.0895,0.0124,0.049,0.0085,0.0793,0.0131,0.3333,0.0174,0.4313,0.0182,0.6559,0.0129,0.217,0.0026,0.2238,0.0237,35
goal_retargeting_heuristic,nominal,5,0.6211,0.0198,0.4449,0.0042,0.4887,0.004,0.0779,0.0131,0.0493,0.008,0.0827,0.0146,0.3306,0.0189,0.4204,0.0169,0.655,0.0131,0.2197,0.0028,0.2112,0.0223,35
goal_retargeting_heuristic,nominal,6,0.6,0.022,0.4453,0.0049,0.4917,0.0046,0.0721,0.0112,0.0493,0.0086,0.0813,0.0119,0.331,0.0148,0.4252,0.0186,0.6587,0.0141,0.2205,0.003,0.2303,0.0223,35
goal_retargeting_heuristic,occlusion_heavy_shift,0,0.5704,0.0211,0.3836,0.0051,0.4735,0.0044,0.102,0.0139,0.049,0.0091,0.0861,0.0148,0.2643,0.0177,0.417,0.0177,0.7486,0.019,0.2186,0.0027,0.2531,0.0228,35
goal_retargeting_heuristic,occlusion_heavy_shift,1,0.5609,0.0221,0.3858,0.0041,0.4777,0.0058,0.098,0.0149,0.0537,0.0112,0.1136,0.0143,0.2779,0.0129,0.4136,0.0201,0.7425,0.0169,0.2212,0.0027,0.2558,0.0241,35
goal_retargeting_heuristic,occlusion_heavy_shift,2,0.5701,0.0222,0.3836,0.0058,0.4752,0.0062,0.1044,0.0117,0.0558,0.0081,0.1051,0.0188,0.2466,0.0166,0.4068,0.0116,0.752,0.0175,0.2172,0.0028,0.2398,0.0225,35
goal_retargeting_heuristic,occlusion_heavy_shift,3,0.5643,0.021,0.3812,0.0044,0.4777,0.0052,0.1007,0.015,0.0537,0.0095,0.117,0.0148,0.2816,0.015,0.415,0.0191,0.754,0.0171,0.2187,0.0025,0.2568,0.0236,35
goal_retargeting_heuristic,occlusion_heavy_shift,4,0.5663,0.018,0.3839,0.0046,0.4735,0.0054,0.1116,0.017,0.0667,0.0113,0.1041,0.0186,0.2646,0.0128,0.3969,0.0196,0.7479,0.0181,0.2183,0.0023,0.2493,0.0215,35
goal_retargeting_heuristic,occlusion_heavy_shift,5,0.5429,0.024,0.3851,0.0054,0.4822,0.0048,0.1099,0.0161,0.0554,0.0076,0.1143,0.0133,0.2653,0.0156,0.4136,0.0205,0.7494,0.0164,0.2163,0.003,0.2813,0.0225,35
goal_retargeting_heuristic,occlusion_heavy_shift,6,0.5707,0.0214,0.3842,0.0049,0.4735,0.0061,0.1014,0.0131,0.0609,0.0101,0.1099,0.0144,0.2571,0.0145,0.4153,0.0199,0.7484,0.0173,0.2173,0.0028,0.2571,0.0223,35
goal_retargeting_heuristic,physical_removal_shift,0,0.5776,0.0209,0.3812,0.0041,0.4562,0.004,0.1194,0.0152,0.0643,0.0119,0.102,0.015,0.2946,0.0157,0.3718,0.0182,0.7612,0.0198,0.2188,0.0024,0.2252,0.0242,35
goal_retargeting_heuristic,physical_removal_shift,1,0.5609,0.0213,0.3861,0.0055,0.4574,0.0055,0.119,0.0154,0.0741,0.0101,0.1007,0.0159,0.2956,0.0138,0.382,0.0146,0.7599,0.0201,0.2188,0.0027,0.2588,0.0211,35
