risk_budget,baseline,mean_success_diff,ci95_success_diff,mean_utility_diff,ci95_utility_diff,wins_over_seeds_utility,seeds,decision
0.05,active_subgoal_probe_policy,0.150521,0.014213,0.212853,0.015347,10,10,proposed_better
0.05,active_viewpoint_reacquisition,0.216493,0.018638,0.304733,0.017745,10,10,proposed_better
0.05,conformal_goal_validity_filter,0.123611,0.016661,0.190099,0.01646,10,10,proposed_better
0.05,failure_aware_manipulation_policy,0.182465,0.01783,0.254692,0.018659,10,10,proposed_better
0.05,goal_retargeting_heuristic,0.211979,0.012594,0.307236,0.010399,10,10,proposed_better
0.05,learned_goal_state_classifier,0.150347,0.018354,0.219704,0.021071,10,10,proposed_better
0.05,oracle_goal_state_supervisor,-0.532813,0.01682,-0.566416,0.018537,0,10,not_decisive
0.05,pomdp_belief_planner,0.189757,0.020586,0.272625,0.018821,10,10,proposed_better
0.05,proposed_disappearing_goal_belief_revision_v4,0.080729,0.018263,0.11246,0.018565,10,10,proposed_better
0.05,risk_budgeted_goal_recovery,0.099826,0.014546,0.163124,0.0153,10,10,proposed_better
0.05,robust_mpc_replan,0.162153,0.020011,0.243355,0.019255,10,10,proposed_better
0.1,active_subgoal_probe_policy,0.190799,0.018765,0.27519,0.018609,10,10,proposed_better
0.1,active_viewpoint_reacquisition,0.259028,0.017178,0.379578,0.01609,10,10,proposed_better
0.1,conformal_goal_validity_filter,0.151389,0.017193,0.238765,0.018918,10,10,proposed_better
0.1,failure_aware_manipulation_policy,0.192708,0.010796,0.291544,0.012616,10,10,proposed_better
0.1,goal_retargeting_heuristic,0.248785,0.013344,0.373345,0.014685,10,10,proposed_better
0.1,learned_goal_state_classifier,0.178646,0.013681,0.259162,0.015327,10,10,proposed_better
0.1,oracle_goal_state_supervisor,-0.419271,0.016003,-0.446286,0.017127,0,10,not_decisive
0.1,pomdp_belief_planner,0.225868,0.014289,0.335152,0.018954,10,10,proposed_better
0.1,proposed_disappearing_goal_belief_revision_v4,0.107465,0.018419,0.147008,0.019508,10,10,proposed_better
0.1,risk_budgeted_goal_recovery,0.111979,0.018914,0.186404,0.01935,10,10,proposed_better
0.1,robust_mpc_replan,0.192188,0.019692,0.301814,0.019805,10,10,proposed_better
0.18,active_subgoal_probe_policy,0.224826,0.02362,0.353682,0.023195,10,10,proposed_better
0.18,active_viewpoint_reacquisition,0.332639,0.012197,0.509458,0.00915,10,10,proposed_better
0.18,conformal_goal_validity_filter,0.177778,0.018584,0.300718,0.01761,10,10,proposed_better
0.18,failure_aware_manipulation_policy,0.258681,0.021449,0.392735,0.025708,10,10,proposed_better
0.18,goal_retargeting_heuristic,0.313542,0.015986,0.473745,0.018507,10,10,proposed_better
0.18,learned_goal_state_classifier,0.225868,0.013511,0.340811,0.013569,10,10,proposed_better
0.18,oracle_goal_state_supervisor,-0.205903,0.014527,-0.228562,0.014508,0,10,not_decisive
0.18,pomdp_belief_planner,0.270139,0.018014,0.433133,0.018546,10,10,proposed_better
0.18,proposed_disappearing_goal_belief_revision_v4,0.119444,0.016239,0.1811,0.01803,10,10,proposed_better
0.18,risk_budgeted_goal_recovery,0.155729,0.018006,0.26218,0.01931,10,10,proposed_better
0.18,robust_mpc_replan,0.243576,0.022429,0.395549,0.023084,10,10,proposed_better
0.28,active_subgoal_probe_policy,0.140972,0.018938,0.295866,0.021625,10,10,proposed_better
0.28,active_viewpoint_reacquisition,0.244792,0.023212,0.488739,0.027733,10,10,proposed_better
0.28,conformal_goal_validity_filter,0.189062,0.015179,0.329298,0.019745,10,10,proposed_better
0.28,failure_aware_manipulation_policy,0.185069,0.017337,0.358089,0.020641,10,10,proposed_better
0.28,goal_retargeting_heuristic,0.219792,0.018452,0.436524,0.017197,10,10,proposed_better
0.28,learned_goal_state_classifier,0.152431,0.02287,0.295125,0.026232,10,10,proposed_better
0.28,oracle_goal_state_supervisor,-0.110069,0.014825,-0.135178,0.014923,0,10,not_decisive
0.28,pomdp_belief_planner,0.206944,0.016199,0.407751,0.018314,10,10,proposed_better
0.28,proposed_disappearing_goal_belief_revision_v4,0.081771,0.013232,0.154995,0.013574,10,10,proposed_better
0.28,risk_budgeted_goal_recovery,0.136458,0.017676,0.266544,0.016428,10,10,proposed_better
0.28,robust_mpc_replan,0.165451,0.017403,0.349464,0.018914,10,10,proposed_better
