method,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_ece,ci95_ece,mean_regret,ci95_regret,mean_utility,ci95_utility,groups
active_subgoal_probe_policy,0,0.635851,0.019828,0.550318,0.003213,0.437642,0.002615,0.079427,0.011229,0.03125,0.006946,0.05816,0.009684,0.449653,0.020354,0.394965,0.019895,0.63989,0.008015,0.266088,0.000699,0.108316,0.000994,0.317864,0.017272,0.426495,0.02354,384
active_subgoal_probe_policy,1,0.628472,0.020118,0.551831,0.003194,0.436392,0.002646,0.080729,0.011425,0.02908,0.006778,0.053819,0.009329,0.448785,0.021376,0.420573,0.020757,0.640522,0.008239,0.266955,0.000691,0.107833,0.001021,0.324891,0.01758,0.424264,0.023258,384
active_subgoal_probe_policy,2,0.634983,0.01922,0.552041,0.003254,0.436482,0.002598,0.083333,0.011679,0.028212,0.006598,0.048611,0.008575,0.454427,0.021146,0.407118,0.020982,0.641021,0.008047,0.266849,0.000663,0.108152,0.001024,0.319241,0.01679,0.431195,0.022928,384
active_subgoal_probe_policy,3,0.641927,0.020382,0.551173,0.00331,0.436789,0.002649,0.083333,0.012046,0.03125,0.007253,0.057726,0.009132,0.457465,0.019958,0.397569,0.019065,0.64112,0.008172,0.265932,0.000692,0.108468,0.001044,0.312801,0.017793,0.430989,0.024752,384
active_subgoal_probe_policy,4,0.640625,0.020133,0.551877,0.003255,0.436073,0.002608,0.076823,0.01141,0.03342,0.007306,0.061198,0.009683,0.454427,0.019392,0.410156,0.020397,0.63975,0.008113,0.26662,0.000696,0.108253,0.001042,0.313991,0.017576,0.43086,0.024805,384
active_subgoal_probe_policy,5,0.641493,0.020571,0.552963,0.003329,0.436526,0.002585,0.088542,0.012035,0.039497,0.008056,0.05599,0.009161,0.43533,0.019852,0.418403,0.019903,0.64215,0.008018,0.266916,0.00068,0.108307,0.00101,0.312819,0.017889,0.419774,0.02415,384
active_subgoal_probe_policy,6,0.626736,0.019498,0.552534,0.003288,0.436768,0.002551,0.085069,0.011678,0.036458,0.007974,0.052517,0.008888,0.451823,0.020881,0.401476,0.018833,0.641817,0.008171,0.266327,0.000663,0.108125,0.001001,0.326436,0.016988,0.411776,0.023915,384
active_subgoal_probe_policy,7,0.621962,0.019965,0.551277,0.003283,0.436433,0.002558,0.078125,0.011543,0.040365,0.008012,0.052517,0.009287,0.450521,0.019687,0.399306,0.020118,0.640921,0.008174,0.266291,0.000708,0.108447,0.001039,0.330505,0.017409,0.407748,0.025425,384
active_subgoal_probe_policy,8,0.634983,0.020428,0.55179,0.003289,0.437289,0.002625,0.085069,0.011299,0.02908,0.007193,0.056424,0.009637,0.438802,0.020606,0.415365,0.01972,0.640739,0.007989,0.266725,0.000693,0.108631,0.001058,0.318728,0.017807,0.425858,0.024017,384
active_subgoal_probe_policy,9,0.638455,0.019757,0.551243,0.00333,0.435722,0.002553,0.078559,0.01103,0.02908,0.00656,0.051649,0.00949,0.43967,0.020562,0.422309,0.020542,0.639836,0.008119,0.266365,0.000732,0.108211,0.001062,0.315667,0.017181,0.435923,0.023738,384
active_viewpoint_reacquisition,0,0.559028,0.020046,0.4395,0.003262,0.294802,0.002554,0.141927,0.01525,0.062066,0.010213,0.083767,0.011679,0.392795,0.020762,0.265625,0.017303,0.719979,0.008102,0.247098,0.000679,0.140182,0.001054,0.385068,0.01743,0.250064,0.02679,384
active_viewpoint_reacquisition,1,0.551649,0.022017,0.442238,0.003268,0.294395,0.00268,0.135851,0.014199,0.05599,0.009774,0.078125,0.010829,0.397569,0.019994,0.264757,0.01933,0.721806,0.008177,0.246971,0.000651,0.140223,0.001035,0.391806,0.019185,0.254159,0.028166,384
active_viewpoint_reacquisition,2,0.568142,0.020914,0.441066,0.003256,0.294335,0.002514,0.137587,0.014337,0.056858,0.009343,0.085503,0.011426,0.384115,0.019073,0.260417,0.019056,0.721214,0.008171,0.24611,0.000671,0.140584,0.001061,0.377677,0.018237,0.264086,0.026544,384
active_viewpoint_reacquisition,3,0.568576,0.021465,0.440267,0.003194,0.294535,0.002611,0.148872,0.0153,0.053819,0.009484,0.082031,0.011235,0.405382,0.019577,0.269531,0.017637,0.722422,0.008187,0.246645,0.000677,0.140216,0.001044,0.377021,0.018692,0.261381,0.027716,384
active_viewpoint_reacquisition,4,0.556858,0.021419,0.440803,0.003111,0.29444,0.002615,0.128906,0.01498,0.063802,0.00996,0.083333,0.011679,0.386285,0.019032,0.254774,0.019041,0.720859,0.008012,0.246995,0.000674,0.140304,0.001078,0.386984,0.018596,0.255213,0.026815,384
active_viewpoint_reacquisition,5,0.53342,0.020542,0.439886,0.003242,0.295315,0.002563,0.134115,0.013261,0.065538,0.010762,0.068142,0.010461,0.395399,0.020403,0.259549,0.018715,0.72427,0.008216,0.246842,0.000668,0.140173,0.000991,0.407316,0.017892,0.234677,0.026432,384
active_viewpoint_reacquisition,6,0.551649,0.021484,0.440526,0.003251,0.29457,0.002566,0.138021,0.015253,0.069878,0.010553,0.076823,0.012268,0.392361,0.018967,0.265625,0.018242,0.722253,0.00808,0.246615,0.000691,0.140118,0.001032,0.392279,0.018777,0.241361,0.027592,384
active_viewpoint_reacquisition,7,0.544271,0.022325,0.441104,0.003292,0.294156,0.002601,0.128472,0.015749,0.061632,0.009542,0.077257,0.010891,0.415799,0.021072,0.264757,0.018486,0.72016,0.007979,0.246481,0.00071,0.140158,0.001045,0.398192,0.019383,0.251941,0.027736,384
active_viewpoint_reacquisition,8,0.546441,0.020989,0.44033,0.003235,0.293959,0.002599,0.134549,0.01504,0.063802,0.00996,0.079861,0.011674,0.382378,0.020403,0.264757,0.016713,0.72171,0.008289,0.247015,0.000667,0.140332,0.001046,0.395898,0.018236,0.243419,0.026804,384
active_viewpoint_reacquisition,9,0.543403,0.020336,0.441129,0.00324,0.294358,0.002646,0.141493,0.014931,0.051215,0.009243,0.066406,0.010152,0.400174,0.020483,0.276042,0.018674,0.723225,0.008208,0.246465,0.00068,0.140419,0.000998,0.398909,0.017737,0.255521,0.027177,384
conformal_goal_validity_filter,0,0.602431,0.018874,0.54467,0.003265,0.423744,0.002564,0.075087,0.01081,0.030816,0.006913,0.070312,0.010627,0.345486,0.019423,0.386285,0.019926,0.662024,0.008056,0.21861,0.000673,0.066704,0.001029,0.347211,0.016429,0.403968,0.023088,384
conformal_goal_validity_filter,1,0.59809,0.021021,0.544659,0.003156,0.423208,0.002609,0.073351,0.010929,0.023438,0.006397,0.075087,0.010469,0.336372,0.019773,0.382378,0.020117,0.66114,0.008122,0.219133,0.00072,0.066652,0.001068,0.35125,0.018308,0.405751,0.024964,384
conformal_goal_validity_filter,2,0.599826,0.020483,0.543778,0.003205,0.423122,0.002617,0.074219,0.01087,0.021701,0.005992,0.06901,0.011013,0.345486,0.01983,0.398003,0.01884,0.662559,0.008086,0.219446,0.000691,0.066532,0.001025,0.34982,0.017806,0.412634,0.024966,384
