comparison,baseline,is_strongest_non_oracle,mean_success_diff,ci95_success_diff,mean_utility_diff,ci95_utility_diff,wins_over_seeds_success,wins_over_seeds_utility,seeds,decision
risk_calibrated_goal_belief_revision_v5_vs_active_subgoal_probe_policy,active_subgoal_probe_policy,no,0.146296,0.008575,0.299714,0.006927,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_active_viewpoint_reacquisition,active_viewpoint_reacquisition,no,0.236748,0.006956,0.485291,0.006332,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_conformal_goal_validity_filter,conformal_goal_validity_filter,no,0.18397,0.007281,0.324386,0.008086,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_failure_aware_manipulation_policy,failure_aware_manipulation_policy,no,0.175289,0.007285,0.345375,0.008222,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_goal_retargeting_heuristic,goal_retargeting_heuristic,no,0.217477,0.004517,0.424992,0.00565,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_last_seen_goal_pursuit,last_seen_goal_pursuit,no,0.414236,0.012218,0.790909,0.011786,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_learned_goal_state_classifier,learned_goal_state_classifier,no,0.160069,0.010881,0.303785,0.012003,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_memory_only_belief_tracking,memory_only_belief_tracking,no,0.350521,0.011959,0.677188,0.014711,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_oracle_goal_state_supervisor,oracle_goal_state_supervisor,no,-0.095775,0.006132,-0.120376,0.0064,0,0,10,not_decisive
risk_calibrated_goal_belief_revision_v5_vs_pomdp_belief_planner,pomdp_belief_planner,no,0.196644,0.007754,0.398169,0.011668,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_proposed_disappearing_goal_belief_revision_v4,proposed_disappearing_goal_belief_revision_v4,yes,0.078356,0.008793,0.148112,0.011739,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_risk_budgeted_goal_recovery,risk_budgeted_goal_recovery,no,0.140567,0.012958,0.267862,0.012379,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_robust_mpc_replan,robust_mpc_replan,no,0.179282,0.009061,0.359747,0.011003,10,10,10,proposed_better
risk_calibrated_goal_belief_revision_v5_vs_uncertainty_halt,uncertainty_halt,no,0.314178,0.014034,0.58338,0.015885,10,10,10,proposed_better
