method,mean_mean_success,ci95_mean_success,mean_mean_goal_validity_f1,ci95_mean_goal_validity_f1,mean_mean_retarget_precision,ci95_mean_retarget_precision,mean_mean_stale_goal_pursuit,ci95_mean_stale_goal_pursuit,mean_mean_unsafe_reach,ci95_mean_unsafe_reach,mean_mean_false_abandonment,ci95_mean_false_abandonment,mean_mean_reappearance_recovery,ci95_mean_reappearance_recovery,mean_mean_substitute_goal_success,ci95_mean_substitute_goal_success,mean_mean_belief_update_latency,ci95_mean_belief_update_latency,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_ece,ci95_mean_ece,mean_mean_regret,ci95_mean_regret,mean_mean_utility,ci95_mean_utility,groups
active_subgoal_probe_policy,0.628241,0.005764,0.538897,0.000509,0.425542,0.00037,0.089873,0.002641,0.034896,0.002794,0.058218,0.00288,0.435532,0.004857,0.398553,0.005299,0.665571,0.000528,0.266794,0.000276,0.112126,0.000178,0.323772,0.005086,0.405232,0.00614,10
active_viewpoint_reacquisition,0.537789,0.007288,0.428108,0.000476,0.283401,0.000331,0.149074,0.003721,0.064757,0.004564,0.081944,0.005034,0.386053,0.005563,0.258507,0.004163,0.746877,0.000943,0.247,0.000214,0.14414,0.000148,0.402612,0.006308,0.219655,0.005711,10
conformal_goal_validity_filter,0.590567,0.003729,0.531406,0.000361,0.412039,0.000367,0.083391,0.003839,0.029051,0.002624,0.079919,0.005483,0.33125,0.004569,0.384491,0.007172,0.686292,0.000739,0.21973,0.000236,0.070407,0.000131,0.356631,0.00336,0.38056,0.004774,10
failure_aware_manipulation_policy,0.599248,0.009241,0.486429,0.000447,0.424631,0.000339,0.093171,0.006226,0.040162,0.002374,0.080093,0.002815,0.355208,0.007374,0.399884,0.005374,0.715119,0.000512,0.227522,0.000227,0.119042,0.000145,0.349016,0.008008,0.359571,0.010165,10
goal_retargeting_heuristic,0.55706,0.006123,0.399864,0.000467,0.432294,0.000273,0.100752,0.004262,0.048843,0.0031,0.105556,0.003082,0.278356,0.008963,0.40463,0.005306,0.784878,0.000487,0.221282,0.000152,0.137449,0.000173,0.385747,0.005248,0.279954,0.005334,10
last_seen_goal_pursuit,0.360301,0.007579,0.163274,0.000224,0.14315,0.000354,0.224306,0.006655,0.102488,0.005074,0.155208,0.003131,0.113773,0.004073,0.111979,0.003663,0.968679,0.000339,0.13722,0.000268,0.215969,0.000173,0.55708,0.006649,-0.085963,0.009407,10
learned_goal_state_classifier,0.614468,0.008498,0.551856,0.000449,0.434846,0.000562,0.083044,0.00574,0.03397,0.002909,0.073785,0.005104,0.365046,0.004969,0.40162,0.006793,0.666448,0.000457,0.215639,0.000178,0.101194,0.000161,0.335758,0.007395,0.401161,0.009194,10
memory_only_belief_tracking,0.424016,0.006939,0.301213,0.000232,0.209752,0.000301,0.185706,0.005635,0.093519,0.003491,0.142245,0.006299,0.181655,0.005491,0.176852,0.005914,0.861332,0.000634,0.146573,0.00018,0.187079,0.000109,0.50164,0.006125,0.027758,0.009666,10
oracle_goal_state_supervisor,0.870313,0.004345,0.792945,0.000614,0.6592,0.000423,0.000116,0.000227,0.0,0.0,5.8e-05,0.000113,0.573495,0.006937,0.630845,0.006626,0.469412,0.00039,0.275597,0.000251,0.016686,0.000128,0.0,0.0,0.825322,0.004464,10
pomdp_belief_planner,0.577894,0.006055,0.491246,0.000207,0.378135,0.000441,0.114178,0.004221,0.051389,0.003238,0.087153,0.00324,0.357292,0.011004,0.351505,0.008139,0.708565,0.000556,0.226377,0.000306,0.122854,0.000189,0.367622,0.005199,0.306777,0.006655,10
proposed_disappearing_goal_belief_revision_v4,0.696181,0.005358,0.642389,0.000341,0.535757,0.000625,0.044676,0.003862,0.014236,0.00232,0.038542,0.001344,0.45463,0.009508,0.498264,0.005432,0.590225,0.00039,0.249977,0.000211,0.081413,0.000158,0.264707,0.004659,0.556833,0.006513,10
risk_budgeted_goal_recovery,0.63397,0.009371,0.537726,0.000371,0.451981,0.000411,0.077199,0.002754,0.022569,0.001829,0.069039,0.004328,0.395255,0.008188,0.432755,0.008119,0.674489,0.000557,0.244847,0.000394,0.081202,0.000109,0.318791,0.008229,0.437084,0.009788,10
risk_calibrated_goal_belief_revision_v5,0.774537,0.006007,0.728804,0.000464,0.604444,0.000371,0.012384,0.001734,0.000868,0.000486,0.008507,0.000846,0.531481,0.00279,0.576389,0.008019,0.521766,0.000491,0.272493,0.000173,0.033565,0.000166,0.196401,0.005151,0.704946,0.006661,10
robust_mpc_replan,0.595255,0.009134,0.454615,0.000321,0.422312,0.000306,0.096065,0.00302,0.037674,0.002827,0.092824,0.003604,0.343692,0.004644,0.404803,0.005759,0.739926,0.000553,0.237223,0.000199,0.114355,0.000202,0.352543,0.008013,0.345198,0.010089,10
uncertainty_halt,0.460359,0.009553,0.355863,0.000379,0.255025,0.000421,0.145197,0.00524,0.057176,0.002772,0.131076,0.005165,0.223437,0.005362,0.221354,0.005979,0.820811,0.000671,0.211307,0.000247,0.152396,0.000159,0.470042,0.008488,0.121566,0.011531,10
