method,split,mean_mean_success,ci95_mean_success,mean_mean_goal_validity_f1,ci95_mean_goal_validity_f1,mean_mean_retarget_precision,ci95_mean_retarget_precision,mean_mean_stale_goal_pursuit,ci95_mean_stale_goal_pursuit,mean_mean_unsafe_reach,ci95_mean_unsafe_reach,mean_mean_false_abandonment,ci95_mean_false_abandonment,mean_mean_reappearance_recovery,ci95_mean_reappearance_recovery,mean_mean_substitute_goal_success,ci95_mean_substitute_goal_success,mean_mean_belief_update_latency,ci95_mean_belief_update_latency,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_ece,ci95_mean_ece,mean_mean_regret,ci95_mean_regret,mean_mean_utility,ci95_mean_utility,groups
memory_only_belief_tracking,combined_extreme,0.395486,0.016023,0.265336,0.000901,0.189101,0.001095,0.217361,0.010794,0.111458,0.006372,0.161806,0.013118,0.162153,0.010046,0.145139,0.01322,0.920365,0.001174,0.148353,0.000276,0.195666,0.000387,0.521508,0.013638,-0.051462,0.016748,10
memory_only_belief_tracking,delayed_reappearance_shift,0.437153,0.019019,0.324149,0.001229,0.213321,0.000798,0.199653,0.022047,0.087153,0.013628,0.162847,0.007555,0.147917,0.015723,0.217361,0.011442,0.88811,0.001722,0.147234,0.000727,0.182615,0.000316,0.490162,0.016681,0.021822,0.029134,10
memory_only_belief_tracking,goal_change_shift,0.419792,0.022307,0.295852,0.001078,0.208919,0.001102,0.173264,0.008081,0.097222,0.010927,0.126736,0.008381,0.200694,0.014268,0.170486,0.01776,0.832831,0.000917,0.145777,0.000931,0.187047,0.000332,0.506938,0.019548,0.039573,0.025087,10
memory_only_belief_tracking,human_obstruction_shift,0.427778,0.012825,0.315718,0.000786,0.219309,0.001352,0.186458,0.013191,0.091667,0.008439,0.146181,0.010948,0.163194,0.019672,0.187153,0.012567,0.868606,0.001352,0.147633,0.000658,0.186528,0.00033,0.498741,0.010825,0.028445,0.016258,10
memory_only_belief_tracking,nominal,0.520139,0.018866,0.380234,0.000613,0.260291,0.000864,0.099306,0.008192,0.066667,0.009342,0.09375,0.014383,0.255208,0.013315,0.205556,0.013717,0.719142,0.000998,0.143202,0.000405,0.163105,0.000272,0.425741,0.016787,0.246701,0.022859,10
memory_only_belief_tracking,occlusion_heavy_shift,0.459722,0.014744,0.326288,0.001016,0.24778,0.000864,0.148264,0.01251,0.077778,0.0085,0.123264,0.007403,0.194097,0.014506,0.206944,0.009741,0.805194,0.001236,0.146178,0.000678,0.180008,0.000492,0.474419,0.013105,0.11528,0.020486,10
memory_only_belief_tracking,physical_removal_shift,0.445486,0.017337,0.308407,0.000926,0.229355,0.001027,0.155903,0.010806,0.082639,0.007845,0.121875,0.01389,0.216319,0.019304,0.194792,0.016529,0.815787,0.001013,0.144854,0.000855,0.183249,0.000384,0.48596,0.015094,0.094866,0.02337,10
memory_only_belief_tracking,substitute_ambiguity_shift,0.418403,0.01852,0.297814,0.00081,0.198508,0.000764,0.181597,0.010497,0.090972,0.010823,0.134028,0.015789,0.199653,0.008004,0.146181,0.015991,0.842292,0.001366,0.145588,0.00089,0.187366,0.000387,0.506529,0.01641,0.033304,0.023818,10
oracle_goal_state_supervisor,combined_extreme,0.851042,0.01071,0.757171,0.001005,0.638356,0.000628,0.000694,0.001361,0.0,0.0,0.0,0.0,0.530556,0.02542,0.615625,0.019224,0.529809,0.000897,0.275616,0.000821,0.02515,0.000397,0.0,0.0,0.797901,0.011564,10
oracle_goal_state_supervisor,delayed_reappearance_shift,0.880208,0.010555,0.815527,0.001317,0.662394,0.000669,0.0,0.0,0.0,0.0,0.000347,0.000681,0.550347,0.01312,0.668056,0.017043,0.494969,0.001477,0.275342,0.001,0.012061,0.000356,0.0,0.0,0.835337,0.009851,10
oracle_goal_state_supervisor,goal_change_shift,0.874306,0.010582,0.785782,0.000839,0.658042,0.000754,0.0,0.0,0.0,0.0,0.0,0.0,0.605208,0.020164,0.611806,0.011735,0.439189,0.001294,0.27588,0.000681,0.017082,0.000269,0.0,0.0,0.831791,0.010257,10
oracle_goal_state_supervisor,human_obstruction_shift,0.864236,0.011807,0.807058,0.001078,0.669999,0.000817,0.0,0.0,0.0,0.0,0.0,0.0,0.549306,0.012622,0.644444,0.019703,0.476261,0.001631,0.275502,0.000726,0.016161,0.000411,0.0,0.0,0.818397,0.011876,10
oracle_goal_state_supervisor,nominal,0.897569,0.013081,0.870555,0.000722,0.710884,0.000894,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.017601,0.663889,0.016756,0.327785,0.000765,0.276094,0.000622,0.001717,0.000103,0.0,0.0,0.867015,0.013155,10
oracle_goal_state_supervisor,occlusion_heavy_shift,0.882986,0.007105,0.816724,0.001204,0.697201,0.000948,0.0,0.0,0.0,0.0,0.0,0.0,0.594792,0.018515,0.661111,0.02004,0.41485,0.001192,0.27514,0.000696,0.009516,0.000344,0.0,0.0,0.844312,0.007469,10
oracle_goal_state_supervisor,physical_removal_shift,0.876389,0.013352,0.800656,0.00104,0.678021,0.001244,0.0,0.0,0.0,0.0,0.0,0.0,0.605556,0.020547,0.625694,0.013024,0.425085,0.001193,0.275327,0.000639,0.013139,0.000428,0.0,0.0,0.835726,0.013859,10
oracle_goal_state_supervisor,substitute_ambiguity_shift,0.875694,0.013181,0.791473,0.000945,0.648387,0.001222,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.015512,0.619444,0.023558,0.451157,0.000547,0.275912,0.00057,0.016525,0.000239,0.0,0.0,0.832781,0.012642,10
pomdp_belief_planner,combined_extreme,0.551736,0.016838,0.455178,0.001057,0.35694,0.000947,0.135417,0.009836,0.065972,0.010832,0.1,0.009176,0.3125,0.025625,0.317014,0.014492,0.769727,0.000845,0.226821,0.000397,0.131323,0.000393,0.386942,0.014624,0.236555,0.022853,10
pomdp_belief_planner,delayed_reappearance_shift,0.594792,0.019384,0.513652,0.001014,0.381727,0.000702,0.120486,0.00968,0.043403,0.006023,0.101389,0.012704,0.317361,0.01065,0.375347,0.014037,0.73426,0.001494,0.227472,0.000366,0.118167,0.000465,0.352864,0.016882,0.315276,0.024729,10
pomdp_belief_planner,goal_change_shift,0.578125,0.020041,0.485672,0.001233,0.377324,0.001042,0.102083,0.01065,0.045833,0.007014,0.081597,0.0121,0.386111,0.017181,0.335069,0.018959,0.679632,0.001107,0.226216,0.000612,0.122723,0.000314,0.368707,0.017486,0.325432,0.023065,10
pomdp_belief_planner,human_obstruction_shift,0.574306,0.017868,0.505179,0.000792,0.38807,0.000837,0.113542,0.008847,0.049653,0.008671,0.091667,0.007871,0.337847,0.024539,0.385764,0.019447,0.714995,0.002071,0.226559,0.000562,0.122381,0.000489,0.370769,0.015484,0.303464,0.024167,10
pomdp_belief_planner,nominal,0.631597,0.026013,0.569861,0.000523,0.429357,0.00095,0.065972,0.00896,0.038889,0.007975,0.057292,0.009691,0.425347,0.011263,0.401389,0.019388,0.565479,0.001247,0.224284,0.000523,0.099159,0.000254,0.327081,0.023225,0.441465,0.027685,10
pomdp_belief_planner,occlusion_heavy_shift,0.594444,0.018312,0.514919,0.001443,0.415639,0.000923,0.086111,0.010135,0.047222,0.006432,0.076389,0.010396,0.352431,0.013583,0.377778,0.011242,0.653073,0.001898,0.226006,0.000561,0.115744,0.000475,0.355909,0.016116,0.357109,0.019396,10
pomdp_belief_planner,physical_removal_shift,0.585764,0.012134,0.498811,0.000876,0.397226,0.000876,0.101736,0.009301,0.049306,0.007578,0.070486,0.009891,0.397569,0.018098,0.356944,0.020612,0.663959,0.001008,0.225136,0.000566,0.119515,0.00036,0.363076,0.010529,0.339915,0.015508,10
pomdp_belief_planner,substitute_ambiguity_shift,0.582639,0.019588,0.488984,0.000629,0.367524,0.000824,0.111806,0.013717,0.054167,0.008798,0.077778,0.007806,0.392361,0.028731,0.338889,0.022416,0.688817,0.000745,0.226059,0.000854,0.123015,0.000556,0.363376,0.017221,0.32002,0.02072,10
proposed_disappearing_goal_belief_revision_v4,combined_extreme,0.687153,0.016684,0.606395,0.001232,0.514633,0.001375,0.053819,0.010457,0.01875,0.00697,0.042708,0.007527,0.426736,0.019579,0.486458,0.024421,0.650664,0.001363,0.250785,0.000761,0.089779,0.000355,0.270217,0.01447,0.526537,0.012298,10
proposed_disappearing_goal_belief_revision_v4,delayed_reappearance_shift,0.701389,0.01763,0.664957,0.001157,0.540171,0.001201,0.050347,0.010005,0.012153,0.005487,0.045139,0.006955,0.428125,0.015686,0.521528,0.011558,0.615941,0.001037,0.250807,0.000693,0.076827,0.000319,0.259965,0.015348,0.555313,0.01546,10
proposed_disappearing_goal_belief_revision_v4,goal_change_shift,0.696181,0.010891,0.637166,0.001408,0.534332,0.000795,0.039236,0.007663,0.013542,0.003988,0.032639,0.008317,0.482639,0.018091,0.472917,0.017121,0.55978,0.001226,0.249291,0.00038,0.081178,0.000309,0.265556,0.009724,0.567311,0.016481,10
proposed_disappearing_goal_belief_revision_v4,human_obstruction_shift,0.694097,0.015131,0.657517,0.000767,0.546734,0.001093,0.040972,0.010435,0.014236,0.005016,0.045833,0.009506,0.423611,0.025865,0.512153,0.016585,0.597128,0.001423,0.25013,0.000525,0.080858,0.000566,0.266577,0.013144,0.551584,0.01445,10
proposed_disappearing_goal_belief_revision_v4,nominal,0.737847,0.012883,0.721006,0.001493,0.587597,0.000726,0.019792,0.004655,0.007292,0.003119,0.017708,0.005016,0.529514,0.018631,0.540972,0.014196,0.448524,0.001322,0.248708,0.000791,0.057435,0.000414,0.232834,0.011396,0.654737,0.015293,10
proposed_disappearing_goal_belief_revision_v4,occlusion_heavy_shift,0.714236,0.016641,0.666186,0.00088,0.573526,0.000807,0.030208,0.009301,0.010069,0.001884,0.032292,0.00642,0.472917,0.025257,0.542361,0.015379,0.534801,0.001022,0.249782,0.000692,0.074455,0.000306,0.250838,0.014764,0.600404,0.02,10
