method,split,mean_mean_success,ci95_mean_success,mean_mean_goal_validity_f1,ci95_mean_goal_validity_f1,mean_mean_retarget_precision,ci95_mean_retarget_precision,mean_mean_stale_goal_pursuit,ci95_mean_stale_goal_pursuit,mean_mean_unsafe_reach,ci95_mean_unsafe_reach,mean_mean_false_abandonment,ci95_mean_false_abandonment,mean_mean_reappearance_recovery,ci95_mean_reappearance_recovery,mean_mean_substitute_goal_success,ci95_mean_substitute_goal_success,mean_mean_belief_update_latency,ci95_mean_belief_update_latency,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_ece,ci95_mean_ece,mean_mean_regret,ci95_mean_regret,mean_mean_utility,ci95_mean_utility,groups
active_subgoal_probe_policy,combined_extreme,0.601042,0.012151,0.502935,0.000542,0.405267,0.000902,0.099653,0.011299,0.039236,0.004871,0.067014,0.011299,0.396528,0.016066,0.367014,0.02362,0.726281,0.000836,0.267311,0.00072,0.12061,0.000343,0.344189,0.010346,0.355026,0.016346,10
active_subgoal_probe_policy,delayed_reappearance_shift,0.643403,0.013688,0.561177,0.001296,0.429477,0.000742,0.102431,0.010749,0.028819,0.004064,0.070139,0.007231,0.398264,0.018178,0.432639,0.009474,0.691972,0.0009,0.267519,0.000665,0.107522,0.000372,0.310559,0.011938,0.408253,0.007381,10
active_subgoal_probe_policy,goal_change_shift,0.625,0.00497,0.532975,0.000494,0.424761,0.000891,0.086458,0.01118,0.031597,0.006452,0.055556,0.008608,0.465278,0.015386,0.386806,0.013806,0.636425,0.001244,0.266167,0.000768,0.112363,0.000424,0.327406,0.004245,0.41103,0.010199,10
active_subgoal_probe_policy,human_obstruction_shift,0.641667,0.018535,0.553823,0.000734,0.435942,0.001365,0.087153,0.009702,0.039236,0.005276,0.055208,0.008332,0.427083,0.010592,0.426042,0.017128,0.671784,0.00119,0.267143,0.000511,0.111561,0.000445,0.312483,0.015945,0.419831,0.018168,10
active_subgoal_probe_policy,nominal,0.664583,0.015089,0.61785,0.001182,0.477277,0.000908,0.049306,0.010186,0.023264,0.005078,0.042361,0.008229,0.511806,0.022644,0.436111,0.010104,0.52321,0.001312,0.265116,0.000449,0.088566,0.000382,0.297654,0.013451,0.508871,0.017676,10
active_subgoal_probe_policy,occlusion_heavy_shift,0.642361,0.022157,0.562404,0.000878,0.462364,0.000696,0.066667,0.009878,0.029514,0.008068,0.047222,0.004991,0.459722,0.019228,0.442361,0.019493,0.609578,0.001773,0.266176,0.000642,0.104872,0.000509,0.314068,0.019367,0.455646,0.019266,10
active_subgoal_probe_policy,physical_removal_shift,0.642708,0.020827,0.546498,0.001272,0.444303,0.001031,0.080903,0.004975,0.034028,0.007845,0.047222,0.006896,0.480556,0.021406,0.409722,0.021616,0.620652,0.00159,0.266043,0.000591,0.108595,0.000398,0.313385,0.018396,0.439422,0.02217,10
active_subgoal_probe_policy,substitute_ambiguity_shift,0.615625,0.017158,0.535978,0.001105,0.413503,0.001152,0.082639,0.00993,0.036458,0.005098,0.054167,0.007605,0.445486,0.01769,0.369097,0.013384,0.646311,0.001266,0.266579,0.000746,0.112106,0.000451,0.334611,0.014867,0.397828,0.019546,10
active_viewpoint_reacquisition,combined_extreme,0.510069,0.020149,0.392819,0.001121,0.262967,0.000777,0.190625,0.009487,0.075,0.010053,0.089236,0.012673,0.358681,0.022732,0.254514,0.013307,0.806929,0.00164,0.247429,0.000606,0.152582,0.000362,0.423044,0.017429,0.143139,0.020703,10
active_viewpoint_reacquisition,delayed_reappearance_shift,0.544792,0.016653,0.450274,0.001287,0.287314,0.001291,0.14375,0.005193,0.062153,0.008394,0.095833,0.01103,0.352778,0.019254,0.278819,0.017397,0.772655,0.001449,0.247962,0.000606,0.139436,0.000312,0.396421,0.014618,0.225411,0.021081,10
active_viewpoint_reacquisition,goal_change_shift,0.523611,0.015211,0.422064,0.001024,0.282641,0.000943,0.142708,0.014328,0.057986,0.007249,0.070833,0.006821,0.423611,0.01792,0.240972,0.01214,0.718291,0.001147,0.246406,0.000602,0.144227,0.000484,0.416139,0.013278,0.226695,0.015015,10
active_viewpoint_reacquisition,human_obstruction_shift,0.550347,0.013733,0.442943,0.00137,0.292113,0.000505,0.139931,0.012344,0.067361,0.013918,0.084028,0.013679,0.376736,0.019362,0.274306,0.017977,0.753476,0.001686,0.247711,0.000344,0.143391,0.000172,0.391921,0.011953,0.232724,0.023722,10
active_viewpoint_reacquisition,nominal,0.608681,0.013949,0.506022,0.000991,0.33493,0.000607,0.090625,0.016959,0.039583,0.006896,0.065625,0.008455,0.439931,0.021925,0.292361,0.021516,0.603777,0.002145,0.245314,0.000519,0.120451,0.000533,0.347484,0.012332,0.378622,0.020958,10
active_viewpoint_reacquisition,occlusion_heavy_shift,0.583333,0.016854,0.450808,0.000907,0.320558,0.000904,0.110764,0.008208,0.055556,0.007726,0.067708,0.009797,0.405556,0.014304,0.273264,0.010643,0.689284,0.001538,0.246473,0.000689,0.136879,0.000279,0.365761,0.014779,0.312903,0.011628,10
active_viewpoint_reacquisition,physical_removal_shift,0.560764,0.019415,0.435844,0.000684,0.302398,0.001096,0.128125,0.014647,0.064236,0.005671,0.069097,0.012567,0.416667,0.017067,0.268056,0.018312,0.701274,0.001611,0.246023,0.000459,0.140897,0.000403,0.385025,0.017022,0.269525,0.022528,10
active_viewpoint_reacquisition,substitute_ambiguity_shift,0.537153,0.015881,0.424704,0.001043,0.272971,0.000674,0.149306,0.013836,0.061806,0.006866,0.082639,0.011909,0.387847,0.014421,0.234375,0.016366,0.728634,0.001532,0.246471,0.000783,0.144305,0.000379,0.403125,0.01362,0.220437,0.014655,10
conformal_goal_validity_filter,combined_extreme,0.551736,0.013206,0.495706,0.000854,0.391953,0.000905,0.107986,0.012066,0.035417,0.007975,0.092014,0.013042,0.301042,0.021282,0.370139,0.019782,0.74694,0.001347,0.220031,0.000583,0.078881,0.000461,0.386999,0.011342,0.304635,0.017635,10
conformal_goal_validity_filter,delayed_reappearance_shift,0.595139,0.014952,0.553328,0.000815,0.415573,0.000388,0.093056,0.014972,0.027778,0.009074,0.102431,0.010457,0.291667,0.023857,0.406944,0.017448,0.711456,0.001178,0.220793,0.000617,0.065628,0.000365,0.35271,0.01306,0.366269,0.017919,10
conformal_goal_validity_filter,goal_change_shift,0.589583,0.021324,0.52583,0.000651,0.411708,0.001077,0.078472,0.011883,0.027778,0.006002,0.063542,0.008056,0.359375,0.018409,0.379514,0.017158,0.65714,0.001281,0.219768,0.000744,0.070653,0.000157,0.358618,0.01853,0.396971,0.024621,10
conformal_goal_validity_filter,human_obstruction_shift,0.584375,0.021087,0.546353,0.000485,0.421082,0.001149,0.079514,0.012649,0.027778,0.00673,0.089931,0.01118,0.304861,0.012081,0.403125,0.017846,0.693122,0.001532,0.220398,0.00065,0.06981,0.000312,0.362269,0.01846,0.370251,0.023033,10
conformal_goal_validity_filter,nominal,0.640625,0.019731,0.609505,0.001181,0.463471,0.001164,0.044097,0.008789,0.013889,0.004058,0.044444,0.006714,0.399653,0.016151,0.416319,0.024694,0.543931,0.001236,0.216998,0.000803,0.046962,0.000243,0.318997,0.017549,0.510304,0.018986,10
conformal_goal_validity_filter,occlusion_heavy_shift,0.614236,0.016498,0.555667,0.001068,0.448359,0.000633,0.064583,0.004887,0.021528,0.003769,0.065972,0.005916,0.340278,0.013421,0.405208,0.014877,0.629545,0.001271,0.21874,0.00067,0.063617,0.00037,0.338523,0.014637,0.438067,0.016595,10
conformal_goal_validity_filter,physical_removal_shift,0.613889,0.01777,0.538812,0.001215,0.430736,0.001299,0.068403,0.007796,0.027431,0.005506,0.061806,0.009773,0.373958,0.012427,0.378819,0.011851,0.64077,0.001214,0.218616,0.000397,0.067233,0.000518,0.33849,0.01565,0.431948,0.019842,10
conformal_goal_validity_filter,substitute_ambiguity_shift,0.608681,0.027091,0.528409,0.00063,0.401183,0.000762,0.072917,0.007245,0.028125,0.002949,0.069792,0.010168,0.356597,0.016825,0.368403,0.012193,0.668322,0.001862,0.218772,0.000566,0.070239,0.000305,0.340697,0.023441,0.413284,0.030957,10
failure_aware_manipulation_policy,combined_extreme,0.572917,0.016824,0.449623,0.00086,0.403498,0.000903,0.111111,0.006496,0.052431,0.008332,0.089236,0.009786,0.326389,0.017747,0.393056,0.015645,0.775093,0.00105,0.228007,0.000757,0.127227,0.000412,0.368648,0.014415,0.296298,0.021413,10
failure_aware_manipulation_policy,delayed_reappearance_shift,0.601389,0.019483,0.508925,0.001146,0.428461,0.000827,0.105903,0.019861,0.032292,0.004428,0.090278,0.011433,0.311111,0.016738,0.416667,0.015218,0.741226,0.001536,0.228241,0.000424,0.114506,0.000306,0.347081,0.016912,0.349877,0.030053,10
failure_aware_manipulation_policy,goal_change_shift,0.600694,0.017306,0.481515,0.000632,0.42342,0.000744,0.079861,0.007858,0.036806,0.005482,0.070139,0.010484,0.387153,0.01556,0.391319,0.013949,0.684995,0.001427,0.226886,0.000697,0.119095,0.000273,0.348764,0.015315,0.381844,0.017454,10
failure_aware_manipulation_policy,human_obstruction_shift,0.603819,0.026965,0.500679,0.001432,0.434965,0.000543,0.090972,0.014123,0.042708,0.005373,0.090972,0.012123,0.339583,0.014554,0.419097,0.014313,0.72165,0.001403,0.22778,0.000568,0.118762,0.000405,0.345126,0.023431,0.358769,0.02686,10
failure_aware_manipulation_policy,nominal,0.652083,0.012123,0.565516,0.000744,0.476496,0.00104,0.052778,0.007014,0.023958,0.003119,0.048611,0.010543,0.420833,0.022222,0.435069,0.021378,0.572704,0.000704,0.226006,0.000558,0.095422,0.000275,0.308829,0.010862,0.492198,0.016826,10
failure_aware_manipulation_policy,occlusion_heavy_shift,0.619097,0.016579,0.511286,0.000662,0.461247,0.00138,0.072917,0.007858,0.031597,0.008081,0.077431,0.006959,0.377778,0.01848,0.438194,0.011909,0.659536,0.001431,0.226825,0.000429,0.111839,0.00037,0.334291,0.014469,0.410303,0.015213,10
failure_aware_manipulation_policy,physical_removal_shift,0.614931,0.018636,0.494694,0.001384,0.443924,0.00089,0.072917,0.008427,0.034028,0.00679,0.059028,0.004758,0.398611,0.023152,0.404861,0.01746,0.671152,0.001094,0.226565,0.000559,0.115514,0.000319,0.337456,0.01628,0.411889,0.024794,10
failure_aware_manipulation_policy,substitute_ambiguity_shift,0.601736,0.018515,0.483137,0.000733,0.41352,0.000813,0.098264,0.010198,0.042708,0.00642,0.080903,0.010834,0.368403,0.014147,0.374306,0.020004,0.696596,0.001828,0.227652,0.000453,0.119147,0.000464,0.347021,0.016213,0.358749,0.018984,10
goal_retargeting_heuristic,combined_extreme,0.531597,0.010269,0.364531,0.001329,0.411331,0.000726,0.122569,0.009943,0.054514,0.006579,0.129514,0.012954,0.245833,0.01733,0.394792,0.016517,0.845603,0.001562,0.221946,0.000423,0.146062,0.00049,0.404206,0.008992,0.213594,0.010883,10
goal_retargeting_heuristic,delayed_reappearance_shift,0.551389,0.016664,0.422629,0.00099,0.435709,0.000916,0.103819,0.008145,0.041319,0.005868,0.120139,0.008914,0.238194,0.01197,0.433333,0.016162,0.810141,0.00094,0.222632,0.000568,0.132878,0.00041,0.390669,0.014431,0.268308,0.015659,10
goal_retargeting_heuristic,goal_change_shift,0.566667,0.017031,0.39406,0.000886,0.432149,0.001,0.100347,0.012444,0.047222,0.009688,0.098611,0.010746,0.301389,0.011779,0.375,0.011744,0.755439,0.001683,0.220914,0.000587,0.137754,0.000195,0.378438,0.014873,0.297563,0.021697,10
goal_retargeting_heuristic,human_obstruction_shift,0.554514,0.016329,0.413674,0.000955,0.442373,0.001265,0.098264,0.008119,0.05,0.00774,0.110069,0.008847,0.272917,0.020346,0.425694,0.010936,0.793199,0.001569,0.221383,0.000573,0.136875,0.000391,0.388083,0.014324,0.275332,0.019209,10
goal_retargeting_heuristic,nominal,0.613194,0.017253,0.478997,0.001217,0.483451,0.001302,0.052431,0.005218,0.028125,0.00604,0.070833,0.004328,0.35625,0.01686,0.444444,0.014347,0.643266,0.001708,0.217992,0.000531,0.113908,0.00037,0.343136,0.015371,0.42799,0.020479,10
goal_retargeting_heuristic,occlusion_heavy_shift,0.568403,0.02145,0.424257,0.001254,0.469924,0.001021,0.068403,0.011702,0.046181,0.007595,0.092708,0.011614,0.293056,0.01272,0.438889,0.015789,0.730047,0.001275,0.220126,0.000684,0.129902,0.000344,0.378861,0.018981,0.330537,0.026708,10
goal_retargeting_heuristic,physical_removal_shift,0.577083,0.017419,0.407743,0.000588,0.45082,0.000697,0.085069,0.010259,0.051389,0.006714,0.075694,0.009006,0.305556,0.008242,0.406944,0.013413,0.739416,0.001386,0.219915,0.000604,0.133575,0.000364,0.370745,0.015412,0.331153,0.018692,10
goal_retargeting_heuristic,substitute_ambiguity_shift,0.561111,0.014848,0.396548,0.000824,0.421381,0.001121,0.094444,0.011866,0.048611,0.007793,0.099306,0.011709,0.30625,0.019719,0.392014,0.015267,0.765467,0.001266,0.220901,0.000698,0.13755,0.000309,0.38234,0.012882,0.293773,0.017596,10
last_seen_goal_pursuit,combined_extreme,0.315278,0.017799,0.127786,0.000534,0.122501,0.000878,0.255208,0.020649,0.110417,0.010236,0.18125,0.011469,0.092014,0.012681,0.1,0.007713,1.028491,0.00139,0.138419,0.000637,0.224384,0.000418,0.590951,0.015269,-0.17359,0.019599,10
last_seen_goal_pursuit,delayed_reappearance_shift,0.377083,0.014952,0.185894,0.001144,0.147275,0.001123,0.241319,0.025388,0.104514,0.00827,0.169097,0.014808,0.079167,0.007159,0.126042,0.015521,0.99466,0.00115,0.138635,0.00061,0.211245,0.000204,0.542624,0.013141,-0.09264,0.027148,10
last_seen_goal_pursuit,goal_change_shift,0.361806,0.023549,0.156876,0.000979,0.141867,0.000957,0.214583,0.01466,0.095833,0.014497,0.149653,0.014037,0.1375,0.010406,0.108681,0.008119,0.940359,0.001588,0.136212,0.000472,0.216085,0.000473,0.557288,0.02075,-0.070058,0.030374,10
last_seen_goal_pursuit,human_obstruction_shift,0.365625,0.017893,0.177592,0.000912,0.152448,0.000797,0.215278,0.013228,0.108681,0.009734,0.15625,0.012913,0.091319,0.010046,0.117014,0.010594,0.976007,0.000565,0.138124,0.000656,0.215324,0.000521,0.552897,0.01574,-0.080673,0.022864,10
last_seen_goal_pursuit,nominal,0.466667,0.020895,0.241574,0.000798,0.194703,0.000734,0.136111,0.017741,0.06875,0.012081,0.104167,0.010445,0.192708,0.015593,0.153819,0.015421,0.826673,0.000883,0.134282,0.000455,0.192561,0.000424,0.473505,0.018489,0.14757,0.022925,10
last_seen_goal_pursuit,occlusion_heavy_shift,0.390278,0.015089,0.187776,0.001225,0.18049,0.001041,0.165625,0.00642,0.1,0.01434,0.135417,0.009408,0.134028,0.0085,0.148264,0.011208,0.91275,0.001755,0.136637,0.00029,0.208979,0.000435,0.535227,0.013421,0.000338,0.024175,10
last_seen_goal_pursuit,physical_removal_shift,0.379514,0.021807,0.171365,0.000763,0.162417,0.00163,0.206944,0.013844,0.097569,0.007347,0.135069,0.005218,0.153125,0.015862,0.123611,0.01235,0.922884,0.001631,0.135431,0.000573,0.212542,0.000286,0.54368,0.019169,-0.03701,0.019074,10
last_seen_goal_pursuit,substitute_ambiguity_shift,0.3625,0.017073,0.16013,0.00101,0.132394,0.000945,0.2125,0.013791,0.097917,0.011424,0.139931,0.013112,0.129514,0.011963,0.096528,0.006559,0.949674,0.000681,0.136499,0.000543,0.216233,0.000433,0.55504,0.014882,-0.061807,0.016006,10
learned_goal_state_classifier,combined_extreme,0.582986,0.018274,0.515725,0.000485,0.414153,0.001391,0.099653,0.014843,0.034375,0.006839,0.084375,0.007527,0.335417,0.021597,0.390625,0.017898,0.727283,0.00149,0.215955,0.000564,0.109142,0.000302,0.360004,0.016092,0.344829,0.023403,10
learned_goal_state_classifier,delayed_reappearance_shift,0.614931,0.016653,0.574052,0.001227,0.43819,0.001103,0.092014,0.009312,0.034028,0.006237,0.082986,0.013284,0.342014,0.015124,0.427431,0.01198,0.691359,0.00145,0.216736,0.000487,0.096517,0.00045,0.335249,0.014533,0.389039,0.018632,10
learned_goal_state_classifier,goal_change_shift,0.626042,0.014527,0.546538,0.000871,0.434252,0.001073,0.081597,0.006749,0.0375,0.008292,0.062847,0.010066,0.390278,0.016982,0.385417,0.019356,0.637244,0.001792,0.214484,0.00075,0.101499,0.000359,0.326515,0.012629,0.420114,0.022599,10
learned_goal_state_classifier,human_obstruction_shift,0.609375,0.014919,0.56646,0.00121,0.444431,0.000897,0.076042,0.010218,0.034375,0.005016,0.084722,0.012557,0.340972,0.020612,0.4,0.015579,0.673972,0.000692,0.216326,0.000335,0.100878,0.0003,0.340387,0.01285,0.392091,0.01312,10
learned_goal_state_classifier,nominal,0.671181,0.023576,0.630136,0.000795,0.486192,0.001288,0.055903,0.008394,0.022917,0.008378,0.047917,0.010917,0.429167,0.020522,0.463194,0.023775,0.524611,0.00135,0.213432,0.000579,0.077444,0.000507,0.291814,0.021011,0.522084,0.025563,10
learned_goal_state_classifier,occlusion_heavy_shift,0.629167,0.021154,0.575075,0.00073,0.473132,0.001159,0.062153,0.009487,0.027431,0.00328,0.077431,0.007319,0.386806,0.01439,0.441667,0.018646,0.611198,0.001369,0.214722,0.000672,0.093631,0.000229,0.325578,0.018768,0.44355,0.019294,10
learned_goal_state_classifier,physical_removal_shift,0.619444,0.019039,0.56005,0.000726,0.454603,0.001096,0.069444,0.012216,0.029861,0.003823,0.056597,0.010787,0.401736,0.020518,0.416667,0.015912,0.621643,0.001378,0.215004,0.000509,0.097725,0.0006,0.333679,0.016774,0.435703,0.023851,10
learned_goal_state_classifier,substitute_ambiguity_shift,0.634028,0.01103,0.548308,0.00123,0.423447,0.000818,0.079514,0.006839,0.033681,0.006733,0.071181,0.011444,0.379861,0.013955,0.389583,0.018312,0.647184,0.001354,0.215327,0.000475,0.101405,0.000226,0.318713,0.009668,0.425189,0.011021,10
