variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.6333,0.3667,0.0334
observed_only_behavior_clone,nominal,1,600,0.5883,0.4117,0.0018
observed_only_behavior_clone,nominal,2,600,0.6067,0.3933,0.0201
observed_only_behavior_clone,nominal,3,600,0.5917,0.4083,0.0071
observed_only_behavior_clone,nominal,4,600,0.5600,0.4400,0.0276
observed_only_behavior_clone,nominal,5,600,0.6067,0.3933,0.0139
observed_only_behavior_clone,nominal,6,600,0.5633,0.4367,0.0340
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4333,0.5667,0.0131
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4433,0.5567,0.0365
observed_only_behavior_clone,hidden_mode_shift,2,600,0.3883,0.6117,0.0185
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4467,0.5533,0.0276
observed_only_behavior_clone,hidden_mode_shift,4,600,0.3683,0.6317,0.0395
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3967,0.6033,0.0164
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4033,0.5967,0.0143
observed_only_behavior_clone,embodiment_shift,0,600,0.4133,0.5867,0.0395
observed_only_behavior_clone,embodiment_shift,1,600,0.4550,0.5450,0.0156
observed_only_behavior_clone,embodiment_shift,2,600,0.4133,0.5867,0.0261
observed_only_behavior_clone,embodiment_shift,3,600,0.4583,0.5417,0.0067
observed_only_behavior_clone,embodiment_shift,4,600,0.4700,0.5300,0.0295
observed_only_behavior_clone,embodiment_shift,5,600,0.4333,0.5667,0.0124
observed_only_behavior_clone,embodiment_shift,6,600,0.4417,0.5583,0.0086
observed_only_behavior_clone,combined_stress,0,600,0.3283,0.6717,0.0069
observed_only_behavior_clone,combined_stress,1,600,0.3033,0.6967,0.0185
observed_only_behavior_clone,combined_stress,2,600,0.3133,0.6867,0.0085
observed_only_behavior_clone,combined_stress,3,600,0.3433,0.6567,0.0093
observed_only_behavior_clone,combined_stress,4,600,0.3217,0.6783,0.0012
observed_only_behavior_clone,combined_stress,5,600,0.3117,0.6883,0.0164
observed_only_behavior_clone,combined_stress,6,600,0.3350,0.6650,0.0024
data_augmentation_wam,nominal,0,600,0.5850,0.4150,0.0442
data_augmentation_wam,nominal,1,600,0.6150,0.3850,0.0256
data_augmentation_wam,nominal,2,600,0.6183,0.3817,0.0253
data_augmentation_wam,nominal,3,600,0.6717,0.3283,0.0288
data_augmentation_wam,nominal,4,600,0.6400,0.3600,0.0025
data_augmentation_wam,nominal,5,600,0.6250,0.3750,0.0105
data_augmentation_wam,nominal,6,600,0.6800,0.3200,0.0365
data_augmentation_wam,hidden_mode_shift,0,600,0.4317,0.5683,0.0473
data_augmentation_wam,hidden_mode_shift,1,600,0.5017,0.4983,0.0114
data_augmentation_wam,hidden_mode_shift,2,600,0.5250,0.4750,0.0317
data_augmentation_wam,hidden_mode_shift,3,600,0.5000,0.5000,0.0075
