ablation,mean_mean_success,ci95_mean_success,mean_mean_goal_validity_f1,ci95_mean_goal_validity_f1,mean_mean_retarget_precision,ci95_mean_retarget_precision,mean_mean_stale_goal_pursuit,ci95_mean_stale_goal_pursuit,mean_mean_unsafe_reach,ci95_mean_unsafe_reach,mean_mean_false_abandonment,ci95_mean_false_abandonment,mean_mean_reappearance_recovery,ci95_mean_reappearance_recovery,mean_mean_substitute_goal_success,ci95_mean_substitute_goal_success,mean_mean_belief_update_latency,ci95_mean_belief_update_latency,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_ece,ci95_mean_ece,mean_mean_regret,ci95_mean_regret,mean_mean_utility,ci95_mean_utility,groups,interpretation
full_goal_belief_revision_v5,0.773524,0.006957,0.719148,0.000301,0.60054,0.000574,0.010938,0.001526,0.001128,0.00057,0.007639,0.001475,0.543924,0.007404,0.557899,0.008594,0.513841,0.000959,0.272511,0.000165,0.035032,0.000174,0.197354,0.006039,0.705214,0.00644,10,all v5 components
minus_abandonment_calibration,0.753212,0.009057,0.710651,0.000634,0.600917,0.000417,0.031163,0.001854,0.018229,0.002283,0.03316,0.002923,0.535156,0.00997,0.573698,0.009935,0.520465,0.000517,0.268786,0.000294,0.072814,0.000189,0.215017,0.007866,0.630804,0.008853,10,over-pursues invalid goals or over-abandons hidden goals
minus_active_reacquisition,0.702431,0.006705,0.643876,0.000554,0.59047,0.000441,0.016927,0.002185,0.003212,0.000984,0.039931,0.003929,0.399392,0.010089,0.549913,0.005099,0.588607,0.000841,0.229162,0.000272,0.03498,0.000229,0.25924,0.005827,0.608066,0.007887,10,does not actively test occluded goals
minus_delayed_reappearance_model,0.742535,0.006566,0.670802,0.000644,0.590242,0.000484,0.017187,0.002349,0.003733,0.000843,0.020052,0.002203,0.474566,0.011634,0.535764,0.008084,0.556413,0.000693,0.261859,0.000344,0.035001,0.000193,0.22426,0.005724,0.655423,0.006844,10,loses recoverable delayed reappearances
minus_goal_change_detector,0.716753,0.009155,0.641021,0.000535,0.490604,0.000349,0.044792,0.002299,0.004253,0.00093,0.015538,0.003233,0.529687,0.008268,0.475,0.010923,0.570732,0.000761,0.265012,0.000393,0.040465,0.000166,0.246729,0.007874,0.610046,0.009963,10,misses task-goal changes
minus_intervention_utility_model,0.756858,0.006587,0.719569,0.000482,0.601326,0.000712,0.01033,0.002713,0.003212,0.000804,0.007205,0.001523,0.532378,0.007867,0.555556,0.00887,0.513991,0.000501,0.28796,0.000328,0.035001,0.000161,0.21186,0.005718,0.681744,0.007665,10,interventions are not utility-aware
minus_observation_memory_separation,0.721788,0.008867,0.584796,0.000603,0.55228,0.000458,0.030816,0.002928,0.00434,0.001522,0.021615,0.0036,0.49158,0.010953,0.522483,0.006328,0.616194,0.000719,0.278884,0.000404,0.03919,0.000178,0.242339,0.007778,0.61498,0.006994,10,confounds unseen goals with invalid goals
minus_physical_validity_test,0.713455,0.011557,0.611899,0.000468,0.535677,0.000671,0.042622,0.003426,0.015712,0.001489,0.028819,0.003531,0.538455,0.007567,0.493229,0.008442,0.584383,0.000576,0.284516,0.000252,0.047548,0.000195,0.249604,0.010094,0.582356,0.012921,10,cannot distinguish hidden from physically invalid goals
minus_risk_calibration,0.752344,0.00926,0.697318,0.000485,0.601179,0.00051,0.028733,0.002188,0.011372,0.001672,0.015365,0.002575,0.522396,0.006212,0.560243,0.008409,0.531502,0.000522,0.261244,0.000339,0.127271,0.000123,0.215687,0.008004,0.637245,0.010073,10,risk estimates are uncalibrated
minus_substitute_goal_planner,0.72474,0.007598,0.719229,0.000529,0.440256,0.000574,0.04783,0.002963,0.00434,0.001076,0.007899,0.002317,0.532639,0.008405,0.407031,0.007448,0.513495,0.000604,0.238738,0.00045,0.03504,0.000204,0.239857,0.006681,0.628302,0.008037,10,cannot choose substitute goals
