risk_budget,method,mean_mean_coverage,ci95_mean_coverage,mean_mean_success,ci95_mean_success,mean_mean_goal_validity_f1,ci95_mean_goal_validity_f1,mean_mean_stale_goal_pursuit,ci95_mean_stale_goal_pursuit,mean_mean_unsafe_reach,ci95_mean_unsafe_reach,mean_mean_false_abandonment,ci95_mean_false_abandonment,mean_mean_reappearance_recovery,ci95_mean_reappearance_recovery,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_ece,ci95_mean_ece,mean_mean_utility,ci95_mean_utility,groups
0.18,active_subgoal_probe_policy,0.76684,0.008336,0.439583,0.013647,0.534399,0.000723,0.089583,0.008276,0.044965,0.003944,0.059201,0.00616,0.434028,0.015302,0.327313,0.000378,0.113098,0.00026,0.219585,0.012681,10
0.18,active_viewpoint_reacquisition,0.691146,0.011561,0.331771,0.008952,0.423549,0.000546,0.144965,0.009588,0.062847,0.004115,0.080556,0.007829,0.38316,0.008975,0.301795,0.000387,0.145292,0.000143,0.063809,0.009254,10
0.18,conformal_goal_validity_filter,0.855208,0.012764,0.486632,0.013091,0.526335,0.000236,0.086111,0.00976,0.025694,0.00358,0.075347,0.006959,0.341493,0.010689,0.288252,0.000404,0.07181,0.000164,0.272549,0.012777,10
0.18,failure_aware_manipulation_policy,0.747049,0.009745,0.405729,0.016041,0.481904,0.000292,0.090972,0.006006,0.039931,0.004451,0.077083,0.0065,0.357986,0.01278,0.286825,0.000299,0.120146,0.000234,0.180533,0.019831,10
0.18,goal_retargeting_heuristic,0.711111,0.0084,0.350868,0.012645,0.395584,0.000624,0.101736,0.005468,0.055382,0.007235,0.101389,0.006133,0.282292,0.011942,0.277809,0.000345,0.138537,0.000232,0.099522,0.018522,10
0.18,learned_goal_state_classifier,0.772049,0.009915,0.438542,0.015751,0.547367,0.00048,0.08125,0.007098,0.032986,0.003514,0.071007,0.008233,0.368229,0.017604,0.277699,0.000319,0.102327,0.000111,0.232456,0.011372,10
0.18,oracle_goal_state_supervisor,1.0,0.0,0.870313,0.008816,0.787883,0.000685,0.000347,0.000454,0.000174,0.00034,0.0,0.0,0.581771,0.011404,0.355883,0.000425,0.017705,0.000136,0.80183,0.009055,10
0.18,pomdp_belief_planner,0.740278,0.006637,0.394271,0.006719,0.486582,0.000406,0.120139,0.007773,0.049479,0.00397,0.092014,0.004892,0.352778,0.014301,0.284999,0.000309,0.123865,0.00024,0.140134,0.009633,10
0.18,proposed_disappearing_goal_belief_revision_v4,0.813542,0.010953,0.544965,0.008645,0.637847,0.000545,0.047396,0.005581,0.01684,0.004814,0.034722,0.00409,0.467187,0.009907,0.314389,0.00026,0.082481,0.000144,0.392167,0.011948,10
0.18,risk_budgeted_goal_recovery,0.846875,0.008605,0.508681,0.011377,0.532919,0.000427,0.075174,0.005917,0.016667,0.003135,0.066667,0.007595,0.400174,0.011151,0.313229,0.000241,0.082458,0.000187,0.311088,0.012242,10
0.18,risk_calibrated_goal_belief_revision_v5,0.884028,0.006764,0.66441,0.014231,0.7241,0.000425,0.009375,0.002223,0.001042,0.000907,0.00816,0.001526,0.537326,0.012334,0.343378,0.000323,0.034927,0.000236,0.573267,0.013415,10
0.18,robust_mpc_replan,0.768056,0.007763,0.420833,0.010261,0.449998,0.000735,0.098437,0.006255,0.040625,0.004428,0.089931,0.005387,0.352431,0.013573,0.298567,0.000269,0.115463,0.00019,0.177718,0.013099,10
0.28,active_subgoal_probe_policy,1.0,0.0,0.628472,0.009367,0.533703,0.00075,0.090625,0.009071,0.038542,0.005435,0.053472,0.004387,0.453125,0.010005,0.346663,0.000408,0.113138,0.000181,0.38137,0.013808,10
0.28,active_viewpoint_reacquisition,0.989583,0.002684,0.524653,0.016784,0.423333,0.000615,0.146181,0.009622,0.064236,0.010005,0.081076,0.00818,0.387674,0.015302,0.325946,0.000295,0.14537,0.000151,0.188498,0.02052,10
0.28,conformal_goal_validity_filter,1.0,0.0,0.580382,0.011929,0.526755,0.000347,0.077778,0.007871,0.029861,0.004268,0.080382,0.011309,0.326736,0.012087,0.299828,0.000389,0.07168,0.000216,0.347939,0.015921,10
0.28,failure_aware_manipulation_policy,1.0,0.0,0.584375,0.015143,0.481995,0.000421,0.093056,0.006809,0.038194,0.003863,0.087153,0.008957,0.352257,0.012388,0.307495,0.000326,0.120179,0.000232,0.319148,0.017142,10
0.28,goal_retargeting_heuristic,0.994618,0.00179,0.549653,0.01516,0.395295,0.000735,0.110417,0.008461,0.050347,0.004244,0.107812,0.009894,0.287326,0.013423,0.30043,0.000274,0.138648,0.000207,0.240713,0.01743,10
0.28,learned_goal_state_classifier,1.0,0.0,0.617014,0.015202,0.547584,0.000647,0.085764,0.00634,0.034896,0.00289,0.068576,0.005789,0.376736,0.010309,0.295629,0.000253,0.102408,0.00015,0.382112,0.017956,10
0.28,oracle_goal_state_supervisor,1.0,0.0,0.879514,0.006028,0.788164,0.000402,0.0,0.0,0.0,0.0,0.0,0.0,0.594271,0.01088,0.35588,0.000294,0.017756,0.000152,0.812415,0.006038,10
0.28,pomdp_belief_planner,1.0,0.0,0.5625,0.01064,0.486613,0.000494,0.111285,0.008734,0.049826,0.005604,0.090972,0.008292,0.355208,0.009547,0.30645,0.000343,0.123951,0.000255,0.269486,0.009739,10
0.28,proposed_disappearing_goal_belief_revision_v4,1.0,0.0,0.687674,0.006345,0.637925,0.000429,0.044444,0.006006,0.01684,0.002827,0.038194,0.005173,0.463542,0.013228,0.329725,0.000304,0.082477,0.000272,0.522242,0.010871,10
0.28,risk_budgeted_goal_recovery,1.0,0.0,0.632986,0.010834,0.532925,0.000407,0.077778,0.004445,0.022396,0.004227,0.071528,0.003433,0.395833,0.012661,0.324997,0.00021,0.082346,0.000124,0.410693,0.011283,10
0.28,risk_calibrated_goal_belief_revision_v5,1.0,0.0,0.769444,0.012598,0.72405,0.000492,0.010937,0.002271,0.00191,0.000942,0.005903,0.001911,0.535417,0.021069,0.352624,0.000315,0.034942,0.000164,0.677237,0.012657,10
0.28,robust_mpc_replan,1.0,0.0,0.603993,0.012481,0.450397,0.000666,0.096528,0.005832,0.040278,0.004671,0.093229,0.008474,0.350868,0.00951,0.317399,0.000252,0.115441,0.000209,0.327772,0.018406,10
