method,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_ece,ci95_ece,mean_regret,ci95_regret,mean_utility,ci95_utility,groups
active_subgoal_probe_policy,0,0.630208,0.023153,0.537535,0.002532,0.426404,0.002092,0.090278,0.013226,0.032986,0.008328,0.064815,0.011612,0.433449,0.022699,0.388889,0.022951,0.664555,0.008024,0.266661,0.000803,0.112148,0.000792,0.321827,0.020129,0.404432,0.027186,288
active_subgoal_probe_policy,1,0.616319,0.02369,0.539348,0.002478,0.424994,0.002131,0.086806,0.013245,0.030093,0.007922,0.054398,0.010858,0.439236,0.024756,0.407407,0.024186,0.666228,0.008186,0.267258,0.000765,0.111544,0.000833,0.334257,0.020638,0.403173,0.027118,288
active_subgoal_probe_policy,2,0.628472,0.021644,0.539775,0.002555,0.425435,0.002152,0.085648,0.01382,0.03125,0.007862,0.049769,0.009795,0.429398,0.024165,0.391782,0.024674,0.665748,0.008074,0.267003,0.000747,0.11197,0.000803,0.323944,0.018812,0.41494,0.026261,288
active_subgoal_probe_policy,3,0.646412,0.023307,0.537927,0.002485,0.425308,0.002164,0.096065,0.014565,0.035301,0.008952,0.0625,0.010506,0.435764,0.022674,0.385417,0.02232,0.666458,0.008158,0.265926,0.000791,0.112483,0.000826,0.307953,0.020297,0.415134,0.028642,288
active_subgoal_probe_policy,4,0.634259,0.022756,0.539222,0.002486,0.425072,0.002186,0.084491,0.013822,0.032986,0.008328,0.064236,0.010911,0.446759,0.022399,0.399884,0.023426,0.664038,0.008247,0.267109,0.000809,0.112224,0.000834,0.318501,0.019788,0.41471,0.028625,288
active_subgoal_probe_policy,5,0.633102,0.024165,0.540108,0.002614,0.425187,0.002036,0.097222,0.014551,0.042824,0.009707,0.057292,0.010596,0.423032,0.022599,0.405093,0.02308,0.665583,0.008245,0.267325,0.000782,0.112081,0.000825,0.319199,0.020965,0.398544,0.028353,288
active_subgoal_probe_policy,6,0.620949,0.022649,0.53933,0.002415,0.426088,0.00216,0.092593,0.01406,0.03588,0.008994,0.055556,0.010163,0.447338,0.02427,0.399884,0.022122,0.666833,0.008123,0.266466,0.000748,0.112023,0.000786,0.330454,0.01967,0.396287,0.027796,288
active_subgoal_probe_policy,7,0.615741,0.023317,0.5385,0.002483,0.425783,0.002182,0.08912,0.014267,0.042824,0.009573,0.057292,0.010956,0.4375,0.022251,0.391782,0.02277,0.665647,0.00825,0.266425,0.000814,0.112278,0.000829,0.334886,0.020296,0.385468,0.030353,288
active_subgoal_probe_policy,8,0.624421,0.02363,0.538952,0.00252,0.426409,0.002235,0.08912,0.012938,0.032407,0.008882,0.059028,0.011126,0.427083,0.023088,0.405671,0.022287,0.665586,0.007939,0.267117,0.000804,0.112548,0.000808,0.326876,0.020547,0.405412,0.027702,288
active_subgoal_probe_policy,9,0.632523,0.022751,0.538277,0.002539,0.424739,0.002081,0.087384,0.013339,0.032407,0.007963,0.057292,0.011304,0.435764,0.02384,0.409722,0.023383,0.665033,0.008159,0.266646,0.000855,0.111963,0.000901,0.319825,0.019695,0.414215,0.027227,288
