method,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_ece,ci95_ece,mean_regret,ci95_regret,mean_utility,ci95_utility,groups
active_viewpoint_reacquisition,0,0.554977,0.02404,0.426955,0.002531,0.284178,0.002143,0.148148,0.017619,0.06713,0.011878,0.087963,0.013906,0.381366,0.023755,0.268519,0.02002,0.744381,0.008161,0.247365,0.000814,0.144159,0.000844,0.387323,0.020867,0.231975,0.031445,288
active_viewpoint_reacquisition,1,0.532407,0.024974,0.429708,0.002493,0.283101,0.002192,0.148727,0.016531,0.058449,0.011338,0.079861,0.012748,0.386574,0.022912,0.260417,0.021823,0.747403,0.008157,0.247298,0.000736,0.143929,0.000851,0.407276,0.02171,0.220274,0.031856,288
active_viewpoint_reacquisition,2,0.548032,0.023917,0.428625,0.002625,0.283578,0.00205,0.145255,0.016709,0.061343,0.010957,0.087384,0.012746,0.376157,0.021885,0.247685,0.021795,0.746756,0.008159,0.246582,0.000764,0.144644,0.000847,0.394253,0.020827,0.23099,0.029236,288
active_viewpoint_reacquisition,3,0.549769,0.02485,0.427687,0.002395,0.283426,0.002187,0.16088,0.018309,0.053819,0.010956,0.089699,0.013424,0.391782,0.022599,0.25463,0.020445,0.747762,0.008136,0.246926,0.000787,0.144273,0.000776,0.392361,0.021605,0.226765,0.032041,288
active_viewpoint_reacquisition,4,0.545718,0.025083,0.428313,0.002343,0.283278,0.002131,0.13831,0.017917,0.068866,0.011908,0.090278,0.013985,0.381366,0.022122,0.251157,0.022091,0.745521,0.008081,0.247394,0.000777,0.144302,0.00088,0.395441,0.021715,0.227216,0.031679,288
active_viewpoint_reacquisition,5,0.520833,0.023928,0.427551,0.002522,0.284231,0.002091,0.146991,0.016068,0.070602,0.012871,0.066551,0.011647,0.385995,0.023458,0.253472,0.021674,0.748912,0.008395,0.246943,0.000792,0.143778,0.000824,0.417061,0.020813,0.207134,0.031301,288
active_viewpoint_reacquisition,6,0.540509,0.024867,0.427888,0.002512,0.283692,0.00209,0.153935,0.018473,0.078704,0.012844,0.076968,0.014353,0.392361,0.02255,0.259259,0.020487,0.747517,0.008069,0.246797,0.000783,0.143961,0.000814,0.400788,0.021666,0.20862,0.031837,288
active_viewpoint_reacquisition,7,0.526042,0.026646,0.42806,0.002442,0.282602,0.002025,0.148727,0.019271,0.063657,0.010778,0.084491,0.013152,0.405671,0.024548,0.259838,0.021408,0.744785,0.00805,0.246711,0.000838,0.144151,0.000814,0.412868,0.023111,0.21152,0.032631,288
active_viewpoint_reacquisition,8,0.534722,0.023874,0.427613,0.002555,0.282836,0.002065,0.146412,0.017556,0.067708,0.011669,0.085069,0.014099,0.375,0.023888,0.263889,0.019349,0.747231,0.008207,0.247434,0.00076,0.144129,0.000857,0.404817,0.020701,0.21449,0.030185,288
active_viewpoint_reacquisition,9,0.524884,0.022282,0.42868,0.002527,0.283083,0.002196,0.153356,0.017935,0.057292,0.011304,0.071181,0.012157,0.384259,0.023427,0.266204,0.021597,0.748497,0.008233,0.246553,0.000798,0.144071,0.000837,0.413937,0.019389,0.21757,0.030449,288
conformal_goal_validity_filter,0,0.594329,0.021819,0.531993,0.002412,0.4128,0.002122,0.083333,0.012955,0.03588,0.008552,0.072917,0.012388,0.331019,0.022206,0.381366,0.022699,0.687126,0.007981,0.219201,0.000766,0.070442,0.000836,0.353206,0.018942,0.379688,0.026886,288
conformal_goal_validity_filter,1,0.593171,0.02429,0.532478,0.002501,0.412436,0.00221,0.081597,0.013053,0.027199,0.007817,0.085069,0.012651,0.326968,0.022282,0.377315,0.023724,0.685521,0.008142,0.219578,0.000797,0.070711,0.00085,0.354266,0.021096,0.38283,0.028631,288
conformal_goal_validity_filter,2,0.589699,0.024674,0.531082,0.002518,0.411966,0.002176,0.081597,0.012953,0.02662,0.007593,0.072917,0.012999,0.336806,0.022262,0.387731,0.021358,0.687564,0.008036,0.220199,0.000766,0.070124,0.000854,0.357667,0.021399,0.387277,0.02962,288
conformal_goal_validity_filter,3,0.598958,0.02524,0.532048,0.002568,0.411582,0.002055,0.081597,0.012445,0.02662,0.007245,0.088542,0.013237,0.326968,0.022455,0.395255,0.023486,0.687497,0.008013,0.22049,0.000753,0.070668,0.000825,0.349407,0.021988,0.386578,0.028796,288
conformal_goal_validity_filter,4,0.595486,0.024329,0.531256,0.002588,0.41188,0.002046,0.076968,0.013327,0.034144,0.008107,0.070602,0.011493,0.321759,0.021696,0.380787,0.021518,0.686529,0.008392,0.219434,0.000794,0.070628,0.000842,0.352148,0.021159,0.389759,0.027887,288
conformal_goal_validity_filter,5,0.592593,0.021948,0.530979,0.00253,0.411602,0.002036,0.089699,0.013327,0.03125,0.00834,0.065972,0.012492,0.33912,0.023165,0.407407,0.022585,0.686,0.00822,0.219507,0.00081,0.070365,0.000807,0.35462,0.019104,0.385659,0.025442,288
conformal_goal_validity_filter,6,0.578704,0.024522,0.530868,0.002479,0.411454,0.002115,0.089699,0.014263,0.021991,0.007274,0.083333,0.012955,0.341435,0.022129,0.377315,0.022264,0.685647,0.008174,0.219854,0.000806,0.070115,0.000807,0.367553,0.021389,0.370419,0.028863,288
conformal_goal_validity_filter,7,0.585069,0.023451,0.531225,0.002499,0.413123,0.002193,0.092014,0.013114,0.03125,0.007862,0.083912,0.013916,0.321759,0.022456,0.394097,0.021759,0.68655,0.008287,0.219566,0.000819,0.070337,0.000838,0.361273,0.020322,0.365491,0.027564,288
conformal_goal_validity_filter,8,0.592593,0.022585,0.531443,0.002441,0.411365,0.002031,0.085648,0.013537,0.030093,0.007757,0.082176,0.013152,0.327546,0.023276,0.374421,0.023216,0.686917,0.008042,0.219845,0.000803,0.07027,0.000796,0.354564,0.019634,0.378259,0.026527,288
conformal_goal_validity_filter,9,0.585069,0.020133,0.530692,0.0024,0.412183,0.002057,0.071759,0.012886,0.025463,0.007646,0.09375,0.014322,0.33912,0.023442,0.369213,0.021993,0.683568,0.007929,0.219621,0.000739,0.070414,0.00087,0.361601,0.017533,0.379639,0.024632,288
failure_aware_manipulation_policy,0,0.598958,0.02316,0.487119,0.002477,0.424584,0.002151,0.083912,0.013444,0.038194,0.0097,0.081597,0.013151,0.366898,0.022217,0.390625,0.023533,0.715601,0.00811,0.226791,0.000786,0.119505,0.000831,0.34886,0.02002,0.366054,0.030162,288
failure_aware_manipulation_policy,1,0.614583,0.022947,0.485923,0.00249,0.424223,0.002274,0.104745,0.015127,0.034144,0.008265,0.082755,0.013635,0.35706,0.022357,0.394676,0.02413,0.715664,0.008155,0.227726,0.000761,0.119196,0.000821,0.335765,0.019942,0.370051,0.028378,288
failure_aware_manipulation_policy,2,0.612847,0.024501,0.486784,0.002586,0.425249,0.002228,0.105324,0.015454,0.041088,0.009335,0.084491,0.012753,0.357639,0.023939,0.409722,0.022654,0.71503,0.007977,0.227359,0.000832,0.11861,0.000779,0.337695,0.021335,0.362392,0.02871,288
failure_aware_manipulation_policy,3,0.594329,0.023195,0.486496,0.002543,0.424019,0.002122,0.092014,0.01504,0.045139,0.0097,0.074653,0.012916,0.35706,0.023373,0.401042,0.022192,0.71529,0.008242,0.227826,0.000758,0.119009,0.000852,0.353409,0.020084,0.353831,0.028688,288
failure_aware_manipulation_policy,4,0.597222,0.024369,0.486423,0.002583,0.423932,0.002101,0.090856,0.013124,0.041088,0.009335,0.071759,0.01227,0.349537,0.02321,0.407986,0.021892,0.714604,0.008059,0.227897,0.000828,0.11897,0.000808,0.350654,0.021158,0.363396,0.028567,288
failure_aware_manipulation_policy,5,0.575231,0.024298,0.486483,0.002607,0.424583,0.002139,0.098958,0.013891,0.045718,0.009862,0.07581,0.012623,0.367477,0.023696,0.398727,0.024121,0.716475,0.008094,0.227209,0.000751,0.119191,0.000831,0.369864,0.021121,0.32784,0.028938,288
failure_aware_manipulation_policy,6,0.61169,0.022601,0.487506,0.002553,0.425359,0.002168,0.103009,0.014639,0.042824,0.009573,0.079861,0.013438,0.364583,0.023338,0.409144,0.024301,0.714155,0.008218,0.227581,0.000826,0.118928,0.000777,0.338591,0.019653,0.364173,0.028207,288
failure_aware_manipulation_policy,7,0.574074,0.02461,0.486585,0.002663,0.424145,0.002172,0.094329,0.014043,0.035301,0.009512,0.081019,0.01315,0.335648,0.022322,0.382523,0.021616,0.715894,0.008129,0.227991,0.000806,0.118891,0.000781,0.370979,0.021403,0.335465,0.029151,288
failure_aware_manipulation_policy,8,0.612847,0.022978,0.484838,0.002561,0.424952,0.002126,0.082176,0.013634,0.038194,0.00943,0.084491,0.013729,0.334491,0.022323,0.40162,0.021786,0.713801,0.008198,0.227526,0.000789,0.119106,0.000824,0.336819,0.019908,0.381128,0.02973,288
failure_aware_manipulation_policy,9,0.600694,0.024019,0.486129,0.002463,0.425266,0.002172,0.076389,0.01303,0.039931,0.009402,0.084491,0.013729,0.36169,0.021518,0.402778,0.022951,0.714673,0.008085,0.22731,0.000769,0.119013,0.000806,0.347523,0.020859,0.37138,0.029554,288
goal_retargeting_heuristic,0,0.541667,0.02405,0.400705,0.002407,0.432302,0.002163,0.092014,0.014064,0.046875,0.009789,0.112847,0.016346,0.273727,0.020708,0.423032,0.023107,0.784188,0.008124,0.221212,0.000839,0.1375,0.000803,0.398989,0.020906,0.268921,0.029949,288
goal_retargeting_heuristic,1,0.558449,0.023822,0.400405,0.002456,0.431266,0.002172,0.108796,0.015878,0.046875,0.009521,0.106481,0.015598,0.278935,0.021895,0.403935,0.0221,0.78623,0.008221,0.221224,0.000843,0.137791,0.000862,0.384521,0.020732,0.277196,0.029185,288
goal_retargeting_heuristic,2,0.557292,0.025074,0.399056,0.00247,0.432323,0.002223,0.100116,0.01512,0.048611,0.010383,0.100694,0.014853,0.26794,0.022227,0.394097,0.022286,0.784726,0.007968,0.221622,0.000782,0.137935,0.000864,0.385982,0.021757,0.282643,0.031297,288
goal_retargeting_heuristic,3,0.572338,0.024336,0.399486,0.002389,0.432798,0.002108,0.108218,0.014353,0.047454,0.009685,0.112847,0.016966,0.273727,0.021503,0.410301,0.023605,0.785233,0.008278,0.220811,0.000817,0.13724,0.000815,0.372643,0.021143,0.28779,0.029981,288
goal_retargeting_heuristic,4,0.560185,0.024115,0.400664,0.002618,0.431878,0.002182,0.11169,0.015059,0.053819,0.011641,0.102431,0.014292,0.284722,0.021959,0.41088,0.023607,0.78432,0.008197,0.221205,0.000777,0.137299,0.000864,0.382791,0.020872,0.27416,0.032057,288
goal_retargeting_heuristic,5,0.541088,0.024409,0.399676,0.002565,0.43261,0.002186,0.097222,0.014902,0.050926,0.010482,0.104745,0.015297,0.287616,0.022362,0.402778,0.024157,0.785556,0.007981,0.221194,0.000824,0.137643,0.000806,0.399007,0.021055,0.266732,0.030144,288
goal_retargeting_heuristic,6,0.552662,0.024639,0.400475,0.002478,0.432216,0.002112,0.094329,0.015106,0.051505,0.010003,0.099537,0.015878,0.262731,0.020899,0.395833,0.024984,0.784829,0.008029,0.221078,0.00082,0.137179,0.00085,0.390152,0.021501,0.279786,0.029859,288
goal_retargeting_heuristic,7,0.558449,0.024411,0.400198,0.002424,0.432537,0.002092,0.097801,0.014454,0.054977,0.010878,0.100116,0.013303,0.284722,0.020812,0.401042,0.021781,0.783889,0.008173,0.221575,0.000839,0.137056,0.000803,0.384604,0.021205,0.279914,0.029414,288
goal_retargeting_heuristic,8,0.561343,0.024076,0.398432,0.002521,0.432456,0.00207,0.103009,0.014191,0.037037,0.009215,0.109375,0.015453,0.309606,0.021772,0.398148,0.022963,0.784081,0.00816,0.22147,0.000776,0.137354,0.000857,0.381683,0.020872,0.293122,0.0294,288
goal_retargeting_heuristic,9,0.56713,0.024456,0.399544,0.002595,0.43255,0.002104,0.094329,0.01348,0.050347,0.010702,0.106481,0.014482,0.259838,0.021043,0.40625,0.023585,0.785725,0.00813,0.22143,0.000801,0.137493,0.000826,0.377095,0.021295,0.289274,0.029499,288
last_seen_goal_pursuit,0,0.358796,0.023266,0.163017,0.002465,0.143173,0.002265,0.239583,0.022975,0.101852,0.014921,0.156829,0.017005,0.119213,0.016015,0.116319,0.015774,0.969522,0.008225,0.137646,0.00086,0.215678,0.000814,0.55803,0.020098,-0.094959,0.031268,288
last_seen_goal_pursuit,1,0.340278,0.02425,0.163743,0.002559,0.143422,0.002179,0.222801,0.021023,0.100694,0.014939,0.15625,0.017413,0.120949,0.016596,0.109954,0.015272,0.969374,0.008075,0.136879,0.000811,0.21632,0.00078,0.574445,0.020888,-0.101482,0.031247,288
last_seen_goal_pursuit,2,0.367477,0.024128,0.163235,0.002462,0.143914,0.002074,0.232639,0.020543,0.086806,0.01391,0.155671,0.017222,0.118634,0.015541,0.115162,0.015223,0.968694,0.007896,0.136532,0.000855,0.216071,0.000816,0.551401,0.020807,-0.068446,0.033605,288
last_seen_goal_pursuit,3,0.345486,0.023981,0.162625,0.002526,0.143274,0.002048,0.23669,0.02114,0.103009,0.013822,0.159144,0.018753,0.111111,0.015496,0.10706,0.014822,0.969001,0.008115,0.137013,0.000851,0.215965,0.000827,0.570281,0.020779,-0.113904,0.032497,288
last_seen_goal_pursuit,4,0.353009,0.022667,0.162863,0.002594,0.142876,0.002122,0.213542,0.021744,0.103009,0.014282,0.148148,0.01687,0.119792,0.015505,0.12037,0.015235,0.968013,0.008123,0.137333,0.000823,0.21602,0.000794,0.563245,0.019518,-0.085357,0.030573,288
last_seen_goal_pursuit,5,0.383102,0.023951,0.1634,0.002517,0.14401,0.00213,0.234954,0.021846,0.115741,0.015708,0.147569,0.016513,0.113426,0.015354,0.100694,0.014412,0.96885,0.00823,0.13719,0.000845,0.215899,0.000778,0.536619,0.020729,-0.079206,0.033123,288
last_seen_goal_pursuit,6,0.366898,0.023515,0.163671,0.002452,0.142951,0.002038,0.217593,0.021651,0.102431,0.014292,0.151042,0.016717,0.103009,0.012753,0.116898,0.014741,0.968793,0.008309,0.137484,0.00082,0.215418,0.000827,0.552011,0.02039,-0.072552,0.034177,288
last_seen_goal_pursuit,7,0.357639,0.024153,0.16353,0.002464,0.142783,0.002166,0.220486,0.020483,0.113426,0.014666,0.159722,0.018653,0.112269,0.014342,0.115162,0.015223,0.968325,0.008087,0.136694,0.000825,0.215902,0.000817,0.559425,0.020848,-0.096742,0.033374,288
last_seen_goal_pursuit,8,0.364583,0.02232,0.163171,0.002501,0.143075,0.002195,0.21412,0.019636,0.094907,0.013183,0.163194,0.018317,0.116319,0.015105,0.111111,0.015496,0.967857,0.008121,0.137619,0.000827,0.216044,0.000814,0.552816,0.019243,-0.075796,0.030374,288
last_seen_goal_pursuit,9,0.365741,0.023372,0.163481,0.002531,0.142026,0.00207,0.210648,0.02045,0.103009,0.014901,0.154514,0.017874,0.103009,0.014372,0.10706,0.014199,0.968363,0.007895,0.137808,0.000881,0.216374,0.000852,0.552526,0.020249,-0.071187,0.030126,288
learned_goal_state_classifier,0,0.59375,0.022975,0.552537,0.002572,0.435107,0.002035,0.074653,0.012406,0.028935,0.008297,0.081597,0.013151,0.359375,0.02238,0.402199,0.024206,0.665924,0.007991,0.215234,0.000836,0.101454,0.000794,0.353564,0.019934,0.387176,0.027433,288
learned_goal_state_classifier,1,0.627315,0.02356,0.552436,0.00252,0.436229,0.002125,0.103588,0.014361,0.03588,0.008994,0.079861,0.013817,0.372106,0.023158,0.385995,0.023403,0.665055,0.008012,0.215908,0.00077,0.100898,0.000804,0.324363,0.020437,0.393201,0.027574,288
learned_goal_state_classifier,2,0.626157,0.023424,0.552454,0.002589,0.434523,0.002314,0.07581,0.012623,0.03125,0.007862,0.067708,0.01221,0.378472,0.02364,0.41956,0.022836,0.665672,0.008131,0.21592,0.000825,0.101457,0.000777,0.326179,0.020355,0.424344,0.027276,288
learned_goal_state_classifier,3,0.633102,0.022042,0.55089,0.002438,0.434674,0.002126,0.083912,0.012855,0.038194,0.009566,0.061921,0.011545,0.368634,0.023343,0.400463,0.023432,0.667406,0.008226,0.215511,0.000747,0.101227,0.000828,0.319459,0.019104,0.420792,0.026916,288
learned_goal_state_classifier,4,0.603009,0.023007,0.550712,0.002515,0.434699,0.002178,0.071181,0.011502,0.042824,0.009839,0.081019,0.013345,0.364583,0.023448,0.417245,0.02323,0.666927,0.007959,0.215453,0.000811,0.101272,0.000862,0.345762,0.020007,0.388594,0.029374,288
learned_goal_state_classifier,5,0.627894,0.022934,0.552463,0.00252,0.434719,0.002099,0.079861,0.013723,0.034144,0.008868,0.075231,0.01272,0.365162,0.022453,0.389468,0.023295,0.667099,0.008245,0.215721,0.000843,0.100867,0.000833,0.324015,0.019974,0.415034,0.027357,288
learned_goal_state_classifier,6,0.601852,0.022452,0.552482,0.002609,0.433468,0.002162,0.082755,0.013054,0.035301,0.008659,0.086227,0.013344,0.362847,0.022265,0.398727,0.023798,0.666408,0.008033,0.215804,0.000823,0.100941,0.000836,0.347159,0.019533,0.38217,0.027637,288
learned_goal_state_classifier,7,0.610532,0.022734,0.551284,0.00252,0.433808,0.002033,0.087384,0.013242,0.032986,0.008012,0.064236,0.011261,0.34838,0.021488,0.394676,0.022639,0.66646,0.008215,0.215146,0.000746,0.101421,0.000773,0.339199,0.019779,0.399221,0.02616,288
learned_goal_state_classifier,8,0.617477,0.022263,0.551917,0.002361,0.434887,0.002153,0.090278,0.01444,0.026042,0.007361,0.071759,0.012478,0.362269,0.021658,0.398727,0.02396,0.666368,0.008226,0.21577,0.000785,0.101482,0.000773,0.332745,0.019331,0.406986,0.027942,288
learned_goal_state_classifier,9,0.603588,0.025196,0.551381,0.002583,0.436349,0.002142,0.081019,0.012235,0.034144,0.008721,0.068287,0.012006,0.368634,0.023673,0.409144,0.022821,0.667155,0.00802,0.215919,0.000772,0.100922,0.000809,0.34513,0.021926,0.394091,0.028446,288
memory_only_belief_tracking,0,0.43287,0.024297,0.301442,0.002512,0.209595,0.002027,0.175926,0.02017,0.100116,0.014421,0.137731,0.017651,0.189815,0.019563,0.178241,0.017915,0.858986,0.008213,0.147029,0.000789,0.186756,0.000904,0.493202,0.020945,0.037053,0.034001,288
memory_only_belief_tracking,1,0.418981,0.02394,0.301254,0.002663,0.20996,0.002154,0.181713,0.019271,0.09838,0.013807,0.161458,0.018695,0.171296,0.017957,0.179977,0.018221,0.861277,0.008048,0.146965,0.000834,0.187122,0.00087,0.506315,0.020815,0.012767,0.03026,288
memory_only_belief_tracking,2,0.427083,0.023421,0.301181,0.002471,0.209139,0.00209,0.184606,0.019471,0.088542,0.013995,0.144676,0.015947,0.193287,0.018554,0.175926,0.018148,0.860839,0.007909,0.146742,0.000835,0.187162,0.000834,0.499398,0.020245,0.039856,0.032967,288
memory_only_belief_tracking,3,0.433449,0.022699,0.3014,0.002527,0.209302,0.002254,0.208912,0.020278,0.099537,0.013117,0.155671,0.016996,0.188079,0.019949,0.195023,0.018345,0.861596,0.008078,0.146231,0.000861,0.186891,0.000829,0.493433,0.019631,0.008605,0.030553,288
memory_only_belief_tracking,4,0.417245,0.023175,0.301007,0.002422,0.209974,0.002092,0.184606,0.019271,0.085648,0.013345,0.143519,0.016404,0.185764,0.019054,0.178241,0.017843,0.861814,0.008041,0.146133,0.000807,0.186959,0.000856,0.50739,0.020034,0.026341,0.033276,288
memory_only_belief_tracking,5,0.447338,0.023237,0.300855,0.002434,0.210129,0.002097,0.177083,0.019643,0.094329,0.014495,0.137731,0.01743,0.179977,0.018362,0.159144,0.017836,0.861777,0.008177,0.146618,0.000846,0.187212,0.000864,0.481243,0.020227,0.057805,0.029977,288
memory_only_belief_tracking,6,0.416667,0.024842,0.301718,0.002532,0.209054,0.002189,0.186343,0.018037,0.096644,0.013737,0.137731,0.017724,0.16956,0.018494,0.172454,0.018865,0.862029,0.008161,0.146395,0.000865,0.187325,0.000811,0.508525,0.021569,0.018701,0.03202,288
memory_only_belief_tracking,7,0.413773,0.024101,0.300675,0.002528,0.209956,0.002129,0.184606,0.019204,0.096065,0.013838,0.144097,0.017146,0.168981,0.017891,0.175926,0.017422,0.860445,0.008085,0.146653,0.000833,0.187091,0.000846,0.51072,0.020887,0.014498,0.030494,288
memory_only_belief_tracking,8,0.421875,0.024149,0.301767,0.002547,0.210621,0.002024,0.184028,0.019643,0.085069,0.013443,0.131366,0.017968,0.18287,0.018083,0.168403,0.01689,0.862505,0.008116,0.146466,0.000874,0.18726,0.000836,0.503022,0.020887,0.040496,0.0317,288
memory_only_belief_tracking,9,0.41088,0.022828,0.300827,0.002544,0.209792,0.002171,0.189236,0.017883,0.090856,0.013702,0.128472,0.016343,0.186921,0.01763,0.185185,0.01896,0.862047,0.008236,0.146501,0.000782,0.187009,0.000854,0.51315,0.019807,0.021461,0.029857,288
oracle_goal_state_supervisor,0,0.873843,0.016188,0.793818,0.002493,0.659375,0.002141,0.0,0.0,0.0,0.0,0.0,0.0,0.582755,0.023506,0.62963,0.021908,0.469853,0.007959,0.275915,0.00081,0.016852,0.000789,0.0,0.0,0.829376,0.016385,288
oracle_goal_state_supervisor,1,0.872685,0.015494,0.79461,0.002418,0.658914,0.002109,0.0,0.0,0.0,0.0,0.0,0.0,0.563657,0.025151,0.645833,0.02425,0.469677,0.008293,0.27539,0.000758,0.016627,0.000826,0.0,0.0,0.827884,0.015797,288
oracle_goal_state_supervisor,2,0.875,0.015579,0.793284,0.002571,0.659041,0.002215,0.0,0.0,0.0,0.0,0.0,0.0,0.582176,0.024841,0.618056,0.022993,0.470026,0.008057,0.274838,0.000684,0.016811,0.000889,0.0,0.0,0.830297,0.015619,288
oracle_goal_state_supervisor,3,0.856481,0.016483,0.791189,0.002502,0.658337,0.002168,0.0,0.0,0.0,0.0,0.0,0.0,0.558449,0.024358,0.640046,0.023137,0.469322,0.008142,0.276112,0.000772,0.016776,0.000809,0.0,0.0,0.810943,0.016562,288
oracle_goal_state_supervisor,4,0.87037,0.015235,0.792341,0.002482,0.660231,0.002103,0.0,0.0,0.0,0.0,0.0,0.0,0.58912,0.024466,0.644676,0.023146,0.470521,0.007975,0.275978,0.000758,0.016685,0.000812,0.0,0.0,0.827039,0.015206,288
oracle_goal_state_supervisor,5,0.861111,0.017307,0.792322,0.002491,0.660237,0.002172,0.0,0.0,0.0,0.0,0.0,0.0,0.570023,0.023012,0.626736,0.023409,0.468389,0.007852,0.275626,0.00076,0.017042,0.00089,0.0,0.0,0.815799,0.017372,288
oracle_goal_state_supervisor,6,0.865741,0.016431,0.793316,0.002552,0.65962,0.002143,0.0,0.0,0.0,0.0,0.0,0.0,0.575231,0.024928,0.612847,0.022922,0.469297,0.007905,0.275826,0.000786,0.016747,0.000838,0.0,0.0,0.820085,0.016854,288
oracle_goal_state_supervisor,7,0.875,0.016308,0.793735,0.002572,0.658902,0.002173,0.0,0.0,0.0,0.0,0.0,0.0,0.555556,0.025305,0.633102,0.021747,0.469113,0.008249,0.275321,0.000767,0.01636,0.000818,0.0,0.0,0.829207,0.016572,288
oracle_goal_state_supervisor,8,0.878472,0.014853,0.79251,0.002548,0.658256,0.002131,0.001157,0.001601,0.0,0.0,0.000579,0.001134,0.579861,0.023115,0.630787,0.023081,0.469201,0.008212,0.275791,0.000807,0.016417,0.000816,0.0,0.0,0.83283,0.014964,288
oracle_goal_state_supervisor,9,0.874421,0.015392,0.792321,0.002582,0.659089,0.002084,0.0,0.0,0.0,0.0,0.0,0.0,0.578125,0.025041,0.626736,0.022851,0.468719,0.008002,0.275169,0.000796,0.016544,0.000818,0.0,0.0,0.829762,0.015816,288
pomdp_belief_planner,0,0.579282,0.022549,0.491067,0.002535,0.378785,0.002214,0.117477,0.014811,0.046875,0.011145,0.078704,0.013337,0.364583,0.022947,0.353009,0.022091,0.709318,0.008348,0.226586,0.000813,0.122838,0.000835,0.366181,0.019566,0.314178,0.029044,288
