stress_level,method,seed,mean_success,ci95_success,mean_goal_validity_f1,ci95_goal_validity_f1,mean_retarget_precision,ci95_retarget_precision,mean_stale_goal_pursuit,ci95_stale_goal_pursuit,mean_unsafe_reach,ci95_unsafe_reach,mean_false_abandonment,ci95_false_abandonment,mean_reappearance_recovery,ci95_reappearance_recovery,mean_substitute_goal_success,ci95_substitute_goal_success,mean_belief_update_latency,ci95_belief_update_latency,mean_intervention_cost,ci95_intervention_cost,mean_ece,ci95_ece,mean_regret,ci95_regret,mean_utility,ci95_utility,groups
0.1,active_viewpoint_reacquisition,0,0.621528,0.055653,0.491295,0.003254,0.325095,0.00288,0.079861,0.032243,0.052083,0.027778,0.0625,0.026858,0.434028,0.051227,0.267361,0.042105,0.631785,0.012,0.24632,0.001771,0.120763,0.001436,0.335297,0.049612,0.382113,0.065834,48
0.1,active_viewpoint_reacquisition,1,0.659722,0.05234,0.490287,0.003373,0.322989,0.003638,0.097222,0.033458,0.052083,0.024133,0.065972,0.028754,0.413194,0.055865,0.291667,0.056295,0.629047,0.013958,0.245437,0.001702,0.12013,0.001586,0.301207,0.046391,0.413185,0.063758,48
0.1,active_viewpoint_reacquisition,2,0.631944,0.057508,0.48876,0.002756,0.321349,0.003525,0.111111,0.036823,0.034722,0.021658,0.048611,0.025657,0.430556,0.048469,0.340278,0.049555,0.632536,0.012572,0.244594,0.001577,0.120192,0.001412,0.325846,0.05078,0.404354,0.066554,48
0.1,active_viewpoint_reacquisition,3,0.572917,0.059088,0.490086,0.003457,0.321268,0.004306,0.086806,0.040091,0.055556,0.026339,0.09375,0.032121,0.475694,0.06451,0.270833,0.049236,0.625897,0.012841,0.245812,0.00191,0.120859,0.001485,0.377643,0.052637,0.311435,0.075396,48
0.1,active_viewpoint_reacquisition,4,0.645833,0.058053,0.488007,0.003656,0.324337,0.003459,0.086806,0.032243,0.048611,0.023742,0.065972,0.028754,0.447917,0.052519,0.319444,0.056575,0.632327,0.013625,0.247092,0.001455,0.12113,0.001493,0.312901,0.050983,0.407742,0.056378,48
0.1,active_viewpoint_reacquisition,5,0.631944,0.055838,0.487842,0.003761,0.324857,0.002952,0.128472,0.035391,0.076389,0.035013,0.055556,0.028078,0.461806,0.053486,0.277778,0.051772,0.630949,0.011886,0.245323,0.001813,0.120259,0.001563,0.325132,0.049209,0.34071,0.077643,48
0.1,active_viewpoint_reacquisition,6,0.625,0.052828,0.489175,0.002998,0.32262,0.003694,0.111111,0.038086,0.045139,0.027059,0.069444,0.032013,0.465278,0.063749,0.277778,0.046983,0.632133,0.011334,0.244772,0.001709,0.120361,0.001397,0.331158,0.046646,0.370735,0.066993,48
0.1,active_viewpoint_reacquisition,7,0.583333,0.046646,0.489728,0.002979,0.324033,0.003882,0.083333,0.02751,0.038194,0.024296,0.0625,0.030175,0.368056,0.058324,0.309028,0.066673,0.62978,0.012541,0.246707,0.001685,0.120623,0.001316,0.367682,0.041011,0.358951,0.062893,48
0.1,active_viewpoint_reacquisition,8,0.520833,0.069884,0.492237,0.003813,0.323118,0.003362,0.100694,0.031875,0.038194,0.02617,0.055556,0.026339,0.465278,0.056679,0.260417,0.046551,0.632291,0.012519,0.24503,0.001885,0.121671,0.001483,0.424577,0.06206,0.291493,0.082064,48
0.1,active_viewpoint_reacquisition,9,0.59375,0.048541,0.490022,0.003657,0.324071,0.003582,0.107639,0.034374,0.045139,0.02525,0.055556,0.028078,0.4375,0.062752,0.270833,0.050187,0.631501,0.011869,0.243676,0.001857,0.120906,0.001171,0.359983,0.043499,0.351794,0.057515,48
0.1,conformal_goal_validity_filter,0,0.638889,0.061771,0.594064,0.00274,0.453156,0.003194,0.045139,0.027059,0.020833,0.015759,0.041667,0.02281,0.375,0.054589,0.416667,0.057542,0.567503,0.013519,0.21722,0.002168,0.046524,0.001396,0.319027,0.054024,0.502144,0.067132,48
0.1,conformal_goal_validity_filter,1,0.663194,0.05544,0.59289,0.002434,0.451236,0.003282,0.072917,0.029027,0.013889,0.01317,0.052083,0.027778,0.388889,0.054444,0.40625,0.058282,0.571363,0.011719,0.217197,0.002072,0.047492,0.001463,0.298154,0.049142,0.504367,0.055081,48
0.1,conformal_goal_validity_filter,2,0.642361,0.05835,0.592912,0.003399,0.452417,0.003941,0.059028,0.029962,0.006944,0.009522,0.079861,0.029162,0.302083,0.05115,0.461806,0.057739,0.572315,0.011407,0.216881,0.001949,0.047413,0.001452,0.31614,0.051632,0.48212,0.066287,48
