split,task,regime,method,seed,episodes,success,goal_validity_f1,retarget_precision,stale_goal_pursuit,unsafe_reach,false_abandonment,reappearance_recovery,substitute_goal_success,belief_update_latency,intervention_cost,ece,regret,utility
nominal,shelf_retrieval,visual_occlusion,last_seen_goal_pursuit,0,6,0.5,0.263792,0.207058,0.166667,0.0,0.0,0.0,0.333333,0.828778,0.133349,0.190434,0.445585,0.271661
nominal,shelf_retrieval,visual_occlusion,memory_only_belief_tracking,0,6,0.833333,0.364339,0.282295,0.166667,0.0,0.0,0.166667,0.333333,0.725787,0.150711,0.158854,0.148528,0.622716
nominal,shelf_retrieval,visual_occlusion,uncertainty_halt,0,6,0.166667,0.462069,0.31817,0.166667,0.0,0.333333,0.5,0.166667,0.644282,0.196109,0.121979,0.742641,-0.224549
nominal,shelf_retrieval,visual_occlusion,active_viewpoint_reacquisition,0,6,0.666667,0.50004,0.356247,0.166667,0.0,0.0,0.166667,0.166667,0.608463,0.247276,0.114794,0.297056,0.435139
nominal,shelf_retrieval,visual_occlusion,pomdp_belief_planner,0,6,0.666667,0.57779,0.42867,0.0,0.0,0.0,0.5,0.5,0.533717,0.227772,0.092442,0.297056,0.606312
nominal,shelf_retrieval,visual_occlusion,goal_retargeting_heuristic,0,6,0.666667,0.45782,0.48849,0.0,0.0,0.166667,0.166667,0.666667,0.642055,0.205438,0.117547,0.297056,0.491239
nominal,shelf_retrieval,visual_occlusion,failure_aware_manipulation_policy,0,6,0.666667,0.565034,0.504963,0.0,0.0,0.166667,0.833333,0.333333,0.550554,0.228522,0.100074,0.297056,0.521066
nominal,shelf_retrieval,visual_occlusion,robust_mpc_replan,0,6,0.5,0.553265,0.479414,0.0,0.0,0.0,0.5,0.666667,0.567677,0.241363,0.089228,0.445585,0.442077
nominal,shelf_retrieval,visual_occlusion,conformal_goal_validity_filter,0,6,0.5,0.615257,0.470243,0.0,0.0,0.0,0.333333,0.666667,0.517355,0.210919,0.047484,0.445585,0.45057
nominal,shelf_retrieval,visual_occlusion,learned_goal_state_classifier,0,6,0.666667,0.624895,0.4896,0.0,0.0,0.166667,0.5,0.166667,0.510654,0.20134,0.075807,0.297056,0.507388
nominal,shelf_retrieval,visual_occlusion,active_subgoal_probe_policy,0,6,0.833333,0.607919,0.458443,0.0,0.0,0.166667,0.5,0.166667,0.510431,0.269079,0.084895,0.148528,0.651744
nominal,shelf_retrieval,visual_occlusion,risk_budgeted_goal_recovery,0,6,0.5,0.636005,0.500038,0.0,0.0,0.0,0.0,0.5,0.5259,0.245495,0.0548,0.445585,0.410501
nominal,shelf_retrieval,visual_occlusion,proposed_disappearing_goal_belief_revision_v4,0,6,0.5,0.714682,0.596502,0.0,0.0,0.0,0.333333,0.666667,0.428749,0.25201,0.05385,0.445585,0.442293
